district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Bowling Green R-I School District (also extends into Ralls County),MO,https://pikecountymo.net/,,,https://pikecountymo.net/contact-us,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Commission Minutes 2024 Commission Minutes 2025 Commission Minutes PIKE COUNTY ECONOMIC DEVELOPMENT AUTHORITY Carolyn Wisecarver, Executive Director PCDA’s mission is to create jobs and improve the quality of life in Pike County. We are committed to helping employers within our b…",,mmission Coroner County Clerk Judicial Circuit Court Prosecuting Attorney Public Administrator Recorder of Deeds Sheriff's Office Treasurer Contact Us Links County Ordinances 2021 Commission Minutes 2022 Commission Minutes 2023 Commission Minutes 2024 Commission Minutes 2025 Comm…
Zalma R-V School District,MO,http://www.zalma.k12.mo.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Center 58 School District,MO,http://www.center.k12.mo.us,,,https://www.center.k12.mo.us/o/csd/page/staff-resources,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,.k12.mo.us Meagan Patterson Assistant Superintendent of Student Support and Success Central Office mpatterson@center.k12.mo.us Brian Walter Director Of Technology Central Office bwalter@center.k12.mo.us Sonja Renner Director Of Public Engagement and Outreach Central Office srenne…,,"ate Sign in Menu Schools Translate Sign in Skip Gallery End of Gallery About Center 25-26 District Calendar MISSION AND VISION Registration Staff Directory Employment Newsletter Sign-Up Dream Big. Excel Always. Center Proud. Our Community Small but mighty, our South KC center is …"
Adrian R-II School District,MO,http://www.adrian.k12.mo.us/,,,https://www.adrian.k12.mo.us/o/ar3sd/page/staff-resources,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,"ill be February 24, 2026 1:30 pm. Request for Proposals are due by March 17, 2026, at 1:30 pm. For questions and bid specifications, please contact the Central Office at 816-297-2710. The Adrian RIII School District reserves the right to reject any or all bids. Find Us Adrian R3 …"
Dunklin R-V School District,MO,https://www.dunklin.k12.mo.us,https://www.dunklin.k12.mo.us/learners/technology-acceptable-use-policy,https://www.dunklin.k12.mo.us/learners/technology-acceptable-use-policy,https://www.dunklin.k12.mo.us/about-us/contact,,2,0,0,1,0,1,,,new window/tab) I.C. Student Portal Infinite Campus (opens in new window/tab) Technology Acceptable Use Policy The Blackcat Way Staff Staff Directory Healthcare Retirees Benefit Enrollment Helpful Links Pay Frontline (opens in new window/tab) Infinite Campus (opens in new window/…,,ns in new window/tab) I.C. Student Portal Infinite Campus (opens in new window/tab) Technology Acceptable Use Policy The Blackcat Way Staff Staff Directory Healthcare Retirees Benefit Enrollment Helpful Links Pay Frontline (opens in new window/tab) Infinite Campus (opens in new w…
Hickman Mills C-1 School District,MO,http://www.hickmanmills.org,https://www.hickmanmills.org/board/board-of-education-audience-comment,,https://www.hickmanmills.org/directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,Foundation Facility Usage Get Involved Share Feedback One Mentors Peachjar Purchasing Records Request Transcripts Staff One Team Hub Staff Directory Website Login FS Admin Login Main Header Holder District Nav District Home Schools Alvin Brooks Middle School Compass Elementary Do…,,mni Ed Foundation Facility Usage Get Involved Share Feedback One Mentors Peachjar Purchasing Records Request Transcripts Staff One Team Hub Staff Directory Website Login FS Admin Login Main Header Holder District Nav District Home Schools Alvin Brooks Middle School Compass Elemen…
Rockwood R-VI School District,MO,https://www.rsdmo.org/,https://www.rsdmo.org/get-involved/district-committees/board-of-education-advocacy-committee,https://www.rsdmo.org/departments/technology/artificial-intelligence/staff-use-of-ai,https://www.rsdmo.org/departments/technology/artificial-intelligence/staff-use-of-ai,,4,1,1,1,0,1,s Password Student Accounts Google Canvas Learning Management Artificial Intelligence (AI) Purpose and Scope for AI Guidance Student Use of AI Staff Use of AI Approved AI Resources 1-to-1 Technology Program Handbook Guidelines for Online Usage Parent Resources Tips for Chromebook…,"ffective AI capabilities, the district is committed to a rigorous vetting process for all AI-powered educational technology. Staff are only permitted to use AI tools for professional tasks or with students if those tools have been formally reviewed and approved by the district's …",Rockwood Learning Council (Elementary) Rockwood Learning Council (Secondary) Wellness Committee Find Help Contact Us School Directory Staff Directory Department Directory Communication Protocols Community Feedback Communicating with the School Board Press Inquiries Wellness and H…,,ogram Rockwood Learning Council (Elementary) Rockwood Learning Council (Secondary) Wellness Committee Find Help Contact Us School Directory Staff Directory Department Directory Communication Protocols Community Feedback Communicating with the School Board Press Inquiries Wellness…
Scott County Central School District,MO,https://www.scottcentral.k12.mo.us/,https://www.scottcentral.k12.mo.us/scott-county-central-homepage/board-of-education-information/wellness-policy-committee,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,l School District 2025-2026 School Calendar Option--CORRECTED VERSION.pdf 2025-2026 Board Approved School Calendar Cafeteria Menu Gradebook Staff Directory Library Missouri_SuN_Bucks_Flyer (1).pdf Missouri SuN Bucks Program Close the Gap Grant CEP Program Enroll in Student Insura…
New Haven School District,MO,http://www.nhps.net/,https://www.nhps.net/page/faq-for-boe-meeting-on-2-9-26,,https://www.nhps.net/page/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,s Office of the superintendent Dr. Madeline Negr ό n Email Office of the Superintendent Path to Excellence Excellence in Education From the Superintendent Section Title Section Subtitle Section Description Section Button Section Parallax Image Section Title Programs Program Image…,,", May 2024 School Budget Development for FY2026-2027 STEM Family Night February 2025 TAPS Awards 2024 FAQ for BOE meeting on 2-9-26 Budgets Contact Us NHPS Executive Team Our Schools Show submenu for Our Schools All Schools A - Z Enrollment Magnet/Schools of Choice New Haven Adul…"
Sullivan School District (also extends into Crawford County),MO,http://home.sullivan.k12.il.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
