district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Morgan County School District,GA,http://www.morgan.k12.ga.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"uctional Technology School Nutrition Athletics Transportation Find Us Morgan County Charter Schools 1065 East Ave Madison, GA 30650 Number: Phone: ( 706) 752-4600 Fax: Fax: (706)-752-4601 Copyright © 2026 Morgan County Charter Schools. All rights reserved. Powered By Apptegy Visi…"
Rockdale County School District,GA,http://www.rockdale.k12.ga.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Dodge County School District,GA,http://www.dodge.k12.ga.us/,https://www.dodge.k12.ga.us/privacy-policy,,https://www.dodge.k12.ga.us/about/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,tab) Email (opens in new window/tab) Help Desk Staff Directory Travel Template Power Teacher Power Admin Staff Handbooks Mandatory Training Directory (opens in new window/tab) Finalsite Messages (opens in new window/tab) Requisition Process Red Rover (opens in new window/tab) My …,,larship Enrollment Forms Dyslexia and Literacy Staff Connect With Dodge (opens in new window/tab) Email (opens in new window/tab) Help Desk Staff Directory Travel Template Power Teacher Power Admin Staff Handbooks Mandatory Training Directory (opens in new window/tab) Finalsite M…
Fayette County School System,GA,http://www.fcboe.org/,https://www.fcboe.org/about-us/administration,,https://www.fcboe.org/about-us/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,"rson Superintendent Maggie Walls Assistant Superintendent of Student Achievement Audrey Toney Assistant Superintendent, Operations Tom Gray Chief Financial Officer Jim Farmer Chief Technology Officer Heidi Pfannenstiel Executive Director, Elementary Education Kay Fannin Executive…",,e Fayette County Education Foundation Portrait of a Graduate Notices Superintendent's Office Administration Organizational Chart Directions Contact Us Board of Ed Our Board Members Board Meeting Schedule Board Meeting Minutes & Agendas (opens in new window/tab) Board Meeting Reco…
Decatur County School District,GA,http://www.dcboe.com/,https://www.dcboe.com/staff,,https://www.dcboe.com/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"filled with pride, perseverance, and promise. End of Gallery Enrollment SCHOOL SYSTEM FINANCIAL INFO District Calendars EmPLOYMENT oPPORTUNITIES Lunch Menus Staff Directory School Report cards student and parent portal Messaging App: Rooms New Decatur County Schools Messaging App…",,", perseverance, and promise. End of Gallery Enrollment SCHOOL SYSTEM FINANCIAL INFO District Calendars EmPLOYMENT oPPORTUNITIES Lunch Menus Staff Directory School Report cards student and parent portal Messaging App: Rooms New Decatur County Schools Messaging App: Rooms Say hello…"
Coffee County School District,GA,http://coffee.k12.ga.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Trion City School District,GA,http://www.trionschools.org/,https://www.trionschools.org/boardofeducation,https://www.trionschools.org/technologydepartment,https://www.trionschools.org/centralofficestaff,,2,0,0,1,0,1,,,"rm MISS TRION PAGEANT Schools Trion Elementary School Trion Middle School Trion High School Search System Superintendent Dr. Howard Hughes, Superintendent Central Office Staff Contact Name Job Title Previous Next Office Contact Numbers Central Office Fax (706) 734-3397 Central Of…",,"en measuring our efforts toward achieving this goal. If you encounter any technology-based barriers when accessing any of our sites, please contact us at (706) 734-2363 for assistance or email us at info@trionschools.org . Copyright © 2026 Trion City Schools Central Office Staff …"
Cook County School District,GA,http://www.cook.k12.ga.us/,https://www.cook.k12.ga.us/boe,https://www.cook.k12.ga.us/technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,"ndar Employee Benefits eBoard Site Etrieve 37 Josey Rd., Adel, GA 31620 PH: 229-896-2294 | FX: 229-896-3443 Main Navigation Menu Home About Superintendent Mission l Vision l Beliefs Board of Education Accreditation Report District Strategic Plan Non-Discrimination Statement Depar…",,My School Bucks Student Accident Insurance GKIDS Readiness Check Attendance Protocol Get Involved Parent Information School Board Policies Contact Central Office Personnel Schools Cook Primary School Cook Elementary School Cook Middle School Cook High School Cook Performance Lear…
Oconee County School District,GA,http://www.oconee.k12.ga.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Warren County School District,GA,http://www.warren.k12.ga.us/,https://www.warren.k12.ga.us/boe,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"tor, Student Services adavis@warren.k12.ga.us Mrs. Fran Hutcheson Finance Director fhutcheson@warren.k12.ga.us Dr. Raschondriu s A. Burnett Director , Auxiliary Services, & Community Liaison rburnett@warren.k12.ga.us Mrs. Suzi Adkins Assistant Finance Director sadkins@warren.k12.…",,"customer service to our employees, our parents, and ultimately, our students. If we may be of assistance to you, please do not hesitate to contact us. Contact Us: Warren County Board of Education 115 Gibson Hwy. Warrenton, GA 30828 Phone : (706) 465-3383 Also, current openings ca…"
