district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Saint Bernard Parish School Board,LA,http://www.stbernard.k12.la.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
St. Landry,LA,http://www.stlandryparishgovernment.org/,,https://www.stlandryparishgovernment.org/it/,,"Missing: policy, contact (crawl limited)",1,0,0,0,0,1,,,,,"es détails de votre séjour aux États-Unis, comme l’endroit où vous allez résider durant votre séjour aux Etats-Unis et les coordonnées d’un contact sur place. La troisième partie se présente sous la forme d’un questionnaire concernant vos antécédents judiciaires et médicaux, mais…"
Webster,LA,http://www.websterparishla.org/index.html,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"nagement Community Services Public Works Government Organizations Maps Public Notices Webster Parish Office of Community Services Executive Director - Melinda Davidson Webster Parish Community Services 208 Gleason St. Minden, LA 71055-0876 Main- (318)-377-7022 Fax- (318)-377-2870…",,"w parish ordinances and more. Thank you for visiting our site! AGENDAS & MINUTES JURORS DISTRICTS PERMITS ORDINANCES WATER & FIRE DISTRICTS CONTACT ELECTED OFFICIALS SEXUAL HARASSMENT POLICY Webster Parish Police Jury - Webster Parish Courthouse Annex 401 Main St., West Entrance …"
Northern Mariana Islands,LA,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Education,LA,https://louisiana.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
St. Helena,LA,http://sthelenaparish.la.gov/,,,https://sthelenaparish.la.gov/apps/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"olice Jury Attends NACo Legislative Day Conference in Washington, D.C... A group of parish officials, including police jury members and the director of homeland security and emergency preparedness, attended the National Ass... NOTICE TO THE PUBLIC OF THE INTRODUCTION OF AN ORDINA…",,ney » Municipalities » Parish Hospital » Registrar Of Voters » School Board » Sheriff's Office » Tax Assessor » Water District + Contacts » Contact Us » Directions » Employment Opportunities I would like to... Apply For A Permit Get Alerts Find A Garbage Pickup Day Work For The P…
Tangipahoa Parish School Board,LA,http://www.tangischools.org,https://www.tangischools.org/district/policies,,https://www.tangischools.org/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,"xist to give graduates the foundation they need to confidently enter the workforce or further their education. Melissa Martin Stilley, TPSS Superintendent Discover our leadership MAKE A POSITIVE, LASTING IMPACT IN YOUR COMMUNITY. Tangipahoa Parish School System is calling on all …",,icies School Safety Student Code of Conduct Supply Lists TPSS Student & Parent Handbook Upcoming Events Weather and Emergency Announcements Contact Departments Business Services Child Nutrition Early Childhood Education (opens in new window/tab) Federal Programs Title I Migrant E…
Jackson,LA,http://www.jacksonparishpolicejury.org/Default.aspx,https://www.jacksonparishpolicejury.org/sites/default/files/fileattachments/administration/page/2639/sexual_harassment_policy_adopted.09.19_0.pdf,,https://www.jacksonparishpolicejury.org/sites/default/files/fileattachments/administration/page/2639/sexual_harassment_policy_adopted.09.19_0.pdf,Missing: tech (crawl limited),2,0,0,1,0,1,,,ment Opportunities Contact Us Helpful Resources Municipalities Parish Organizations Water and Sewer Systems Explore Jackson Parish Business Directory Caney Lake Community Center Health Services Library Louisiana Delta Community College Schools and more... Public Safety Jackson Pa…,,Police Jury Skip to main content Jackson Parish Police Jury Our Parish About Community Profile Code of Ordinances Employment Opportunities Contact Us Helpful Resources Municipalities Parish Organizations Water and Sewer Systems Explore Jackson Parish Business Directory Caney Lake…
Shreveport – Bossier City,LA,http://www.ci.shreveport.la.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ouachita Parish School Board,LA,http://www.opsb.net/,https://www.opsb.net/about-us/policy-manual,,https://www.opsb.net/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,eration for and Approved by School Board Vote School Zones STRATEGIC PLAN Student Privacy JR-15c Student Privacy & Education Records Policy Superintendent Vision Statement Policy Review Committee The purpose of the Policy Review Committee (subcommittee of the School Board appoint…,,menu mobile-top-container logo-container logo-image menu-trigger-container Close district-nav DISTRICT HOME Select A School mobile-main-nav CONTACT US About Us 2025-2026 School Calendar at a Glance 2026-2027 Calendar at a Glance Charter School Application CONTINUOUS LEARNING PLAN…
