district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Montgomery County Public Schools,MD,https://www.montgomeryschoolsmd.org/,https://www.montgomeryschoolsmd.org/boe/,,https://www.montgomeryschoolsmd.org/staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,ics & Test Results Data Dashboards Operating Budget Capital Budget Annual Report Research and Reports Contact us Staff Staff Homepage Staff Directory Benefits and Pay Forms m y MCPS e Paystub Check e-mail (Outlook 365) Call a Substitute Training Help Desk The Bulletin Quick Notes…,,tatistics & Test Results Data Dashboards Operating Budget Capital Budget Annual Report Research and Reports Contact us Staff Staff Homepage Staff Directory Benefits and Pay Forms m y MCPS e Paystub Check e-mail (Outlook 365) Call a Substitute Training Help Desk The Bulletin Quick…
Northern Mariana Islands,MD,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Maryland State Department of Education,MD,http://www.marylandpublicschools.org/Pages/default.aspx,https://www.marylandpublicschools.org/stateboard/Pages/default.aspx,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,ees the preparation of educator candidates; and approves the educational programs of nonpublic schools. Learn more Contact: Elizabeth Cohen Director of Recruitment and Staffing Office: (410) 767-0152 [email protected] Looking for Teaching Positions? If you are interested in teach…,,are Scholarships Public Information Act Requests Apply or Renew Certification National Board Certification Moving Special Education Forward Contact Us Enter search term Search Committed to a transformative path forward in support of every Maryland student At the Maryland State De…
American Samoa,MD,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Baltimore City Public Schools,MD,https://www.baltimorecityschools.org/,https://www.baltimorecityschools.org/page/about-our-board,,https://www.baltimorecityschools.org/o/bcps/page/district-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ng the school year budget Approving class subjects and learning materials for students​ Hiring and rating the Baltimore City Public Schools Chief Executive Officer (CEO) Recruiting, retaining, and supporting qualified employees Engaging the community’s voice for critical decision…",,"mportant information Calendar Breakfast, lunch, and supper menus Back To School Information Forms Media Opt Out - English | Spanish Student Contact Update - English | Spanish Snow days School Buildings Transportation Learn how we can help Report a bullying incident Early Reading …"
Caroline County Public Schools,MD,https://www.carolineschools.org/,,,https://www.carolineschools.org/page/human-resources#contacts,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ls with disabilities will be provided upon request. The information in this announcement is available in alternative formats upon request. Title IX Coordinator: Robert Willoughby, Supervisor of Human Resources | 410-479-1460 | willoughby.robert@ccpsstaff.org 504 Coordinator: Chri…",,"Our Family! Current Openings Current Employee Hub Former Employees / Retirees Coming Soon: Substitutes Non-Discrimination (Title IX) Notice Staff Directory HR Contacts Former Employees / Retirees Employee Access Center (EAC) Former/Retired Employees may access past paychecks, tax…"
Washington County Public Schools,MD,http://wcpsmd.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Harford County Public Schools,MD,http://www.hcps.org/,https://www.hcps.org/boe/budget.aspx,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"s for our superintendent to be placed on administrative leave during the investigation. In the meantime, Dr. Dyann Mack, our current Deputy Superintendent, will serve as Acting Superintendent to ensure continuity, stability, and effective leadership across the district. The Board…",,CHNOLOGY RESOURCES MENUS PAYMENT OPTIONS OFFICE 365 EMPLOYMENT OPPORTUNITIES ABOUT US ABOUT OUR SCHOOLS DEPARTMENTS CALENDARS DISTRICT DATA CONTACT US EXCELLENCE IN EDUCATION CURRENT VACANCIES STRATEGIC PLAN BUDGET MEDIA WEB ACCESSIBILITY NONDISCRIMINATION STATEMENT SAFETY AND SE…
Dorchester County Public Schools,MD,http://www.dcpsmd.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Baltimore County Public Schools,MD,https://bcps.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hawaii,MD,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Howard County Public Schools,MD,http://www.hcpss.org/,,https://www.hcpss.org/technology/,https://www.hcpss.org/for-you/staff/,Missing: policy (crawl limited),2,0,0,1,0,1,,,"PSS procedures Student Handbook Access the Student-Parent Handbook, and the Student Code of Conduct News Highlights FY27 Budget Process The Superintendent kicked off the FY27 operating budget process with his proposed budget, which totals $1.278 billion. The Board of Education wi…",,"Board of Education and access meeting schedules Superintendent Learn about the HCPSS Superintendent, their Cabinet, and more Central Office Staff Directory Search for Central Office staff contact via name, department or phone number Have A Question? Contact Us: 410-313-6600 Human…"
Cecil County Public Schools,MD,https://www.ccps.org/,https://www.ccps.org/administration/business-services/purchasing-department/procurement-policy-and-procurement-procedures,,https://www.ccps.org/administration/business-services/purchasing-department/procurement-policy-and-procurement-procedures,Missing: tech (crawl limited),2,0,0,1,0,1,,,lasses Employment Info Training Links Field Trips School Locator Who to Contact Staff Small Parcel Courier Schedule Administrative Services Directory Facilities Capital Outlay - School Construction Construction Report - Current Projects North East Middle High School Capital Impro…,,ion Policies Procedures (opens in new window/tab) Administrative Services Facilities Food & Nutrition Lunch Menus (opens in new window/tab) Contact Us Technology Services Transportation Parents Guardians Student Conduct Bus Stops FAQ Bus Contractors Bus Contractor Forms Bus Contr…
Calvert County Public Schools,MD,https://www.calvertnet.k12.md.us/,https://www.calvertnet.k12.md.us/district-information/policies/administration,,https://www.calvertnet.k12.md.us/district-information/policies/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,in new window/tab) Community Engagement and Partnerships Become A Volunteer Calvert County School Foundation Community Events Social Media Directory ESSA Strategic Plan Equity OIG Hotline (opens in new window/tab) Policies Administration Instruction Students Supporting Services B…,,Phone 443-550-8000 Fax 410-286-1358 Facebook (opens in new window/tab) YouTube (opens in new window/tab) LinkedIn (opens in new window/tab) Contact Us Site Accessibility Non-Discrimination Security and Privacy Site Map NICHE (opens in new window/tab) NAMM (opens in new window/tab…
