district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Northern Cambria School District (Third Class),PA,http://www.ncsd.k12.pa.us,,,https://www.ncsd.k12.pa.us/apps/staff/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ESSER GRANT Information Title IX Administration Central Office Board of Education Board Meeting Agenda Board Meetings on Youtube Office of Superintendent Business Office Budget Information Audits 2024-2025 proposed General Fund budget Request for Bids Departments Cafeteria / Food…,,"School 601 Joseph Street, Northern Cambria, PA 15714 Phone: 814-948-5880 Fax: 814-948-5561 Powered by Edlio Edlio Login Mobile Footer Links Staff Directory Calendar Board Contact Staff Directory | Northern Cambria School District Skip to main content Northern Cambria School Distr…"
Kiski Area School District (Third Class; also extends into Armstrong County),PA,https://www.kiskiarea.com/,,,https://www.kiskiarea.com/apps/staff/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ducation & Student Services Email Darren Kennedy Emily Mather Director of Curriculum K-6 & Federal Programs Email Emily Mather Eric Vaughan Director of Information Technology Email Eric Vaughan Jaclyn Walker Director of Food Services Email Jaclyn Walker Jacob Nulph Director of At…,,ance Evaluation Right to Know About Our District Comprehensive Plan Purpose & Vision Statements Google Reference District Model PLC Schools Staff Directory KA Student Store Employment Registration Parent Advisory Council ADA Compliance Title IX Information Schools High School Int…
Carbondale Area School District (Third Class),PA,http://gateway.ca.k12.pa.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lawrence,PA,http://www.co.lawrence.pa.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Towanda Area School District (Third Class),PA,http://www.tsd.k12.pa.us/,,,https://www.tsd.k12.pa.us/staff-resources,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,Academy BKA Facts BKA Student Access Frequently Asked Questions How Do I Enroll? Student Expectations Tech Support What is Online Learning? Contact Us Calendars Registration Facility Use Real Estate Taxes Homestead/Farmstead Application for Property Tax Relief Online Tax Payment …
Wyomissing Area School District (Third Class),PA,http://www.wyoarea.org/,https://www.wyoarea.org/school-wellness-policy,,https://www.wyoarea.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,ills Elementary Center × Close Homepage Your browser does not support the video tag. ANNUAL REPORTS COMMUNITY BULLETIN BOARD STAFF & SCHOOL DIRECTORIES HANDLING A CONCERN DISTRICT INITIATIVES ANNUAL NOTIFICATIONS ATHLETIC SCHEDULES MENTAL HEALTH RESOURCES & THE COOK CENTER Learn …,,earch Home Calendar 2025-2026 District Calendar District Calendar 2026-2027 District Calendar Our District Our District Home District Staff Staff Directory Home Superintendent Superintendent Home 2025-2026 GOALS History Mission & Vision Annual Report Annual Notifications Annual N…
Saint Clair Area School District (Third Class),PA,http://www.saintclairsd.org/,,https://www.saintclairsd.org/for_parents/technology,https://www.saintclairsd.org/for_staff,Missing: policy (crawl limited),2,0,0,1,0,1,,,Saint Clair Area School District Data School Board Policy Manual Superintendent Goals 2025-2026 Social Media 2024-2025 GF Budget PTO Staff Directory Contact School Cafe Menus Skip Sidebar Navigation Technology ACHIEVE After School Program Alice Training Athletics Bus Schedule Chi…,,gement Saint Clair Area School District Data School Board Policy Manual Superintendent Goals 2025-2026 Social Media 2024-2025 GF Budget PTO Staff Directory Contact School Cafe Menus Home District Information Educational Community Mission Statement Vision Statement Shared Values C…
Allentown City School District (Second Class),PA,http://www.allentownsd.org/,,https://www.allentownsd.org/about-us/strategic-plan/priority-vii-technology-for-universal-learning,https://www.allentownsd.org/contact,Missing: policy (crawl limited),2,0,0,1,0,1,,,otification of Video/Audio on School Buses Program of Studies School Locator (opens in new window/tab) School Reassignment School Schedules Superintendent's Reading League Student Digital Learning Platforms (opens in new window/tab) Transcript Requests 21st Century Community Lear…,,"rectors BoardDocs - Agendas, Meeting & Policies Meet the Board Members Right to Know Careers Careers at ASD Job Openings Career Fair Events Contact Human Resource Offices Learning & Teaching Learning & Teaching Athletics Arts & Wellness Special Education English Learner Services …"
Mars Area School District (Third Class),PA,http://www.marsk12.org,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"the link above or upon request at the District's Administration Office (545 Route 228; Mars). Budget Overview The Mars Area Board of School Directors approved a 2025-2026 General Fund Budget of $65,399,802 with a 1.000 millage increase. This budget is 4.26 percent or $2,674,726 h…",,ent Donors / Sponsors Right-to-Know Requests Mars Planet Foundation Health & Safety Plan Elementary PTO ESSA Federal Report Staff Resources Contact Us Schools Mars Area High School Mars Area Centennial School Mars Area Middle School Mars Area Elementary School Mars Area Cyber Aca…
Erie City School District (Second Class),PA,https://www.eriesd.org/,https://www.eriesd.org/page/title-i-complaint-resolution-policy,,https://www.eriesd.org/page/district-administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,vices Show submenu for Library Services Black History Month Celebrating African-American Achievement Power Library Destiny Library Homepage Directory How to Access eBooks in Destiny Britannica School Info CKLA Trade Book List Connect to Authors & Illustrators Library Corner Help …,,vices Show submenu for Library Services Black History Month Celebrating African-American Achievement Power Library Destiny Library Homepage Directory How to Access eBooks in Destiny Britannica School Info CKLA Trade Book List Connect to Authors & Illustrators Library Corner Help …
