district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Miami-Dade County Public Schools,FL,https://www.dadeschools.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Broward County Public Schools,FL,https://www.browardschools.com/,https://www.browardschools.com/school-board/school-board-policies,,https://www.browardschools.com/parentsstudentsstaff/customer-service,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Conduct Careers Meet The Board Smart Futures Calendars Students Careers District Department Directory Anonymous Tips Public Records Request Superintendent Get Involved Parents Food and Nutrition Information About Us District Overview Calendars - School Year, Public Meetings & Eve…",,ry Middle High Directory Directory Overview Our Schools Programs and Services Departments Important Phone Numbers School Board & Leadership Staff Directory Regional Superintendents and Assistant Superintendent Offices School Board Meet the Board Meeting Agendas and Watch Live Upc…
The School District of Palm Beach County,FL,https://www.palmbeachschools.org/,https://www.palmbeachschools.org/studentsparents/food-and-nutrition-services/wellness-promotion-policy/wpp-annual-report-archives,https://www.palmbeachschools.org/school-board/board-advisory-committees/technology-advisory-committee-tac,https://www.palmbeachschools.org/about-us/important-district-contacts,,2,0,0,1,0,1,,,". Our 6 top stars now head to State! Band Director Named One of Yamaha’s “40 Under 40” Outstanding Music Educators Amrutha Murthy, the Band Director at Park Vista Community High School, was named to Yamaha’s “40 Under 40” list , a recognition for excellence in music education. At…",,ol Programs and Registration Program Sites Summer Camp Alternative Education Department of Juvenile Justice Sheriffs Program Youth Services Staff Directory (opens in new window/tab) Arts Education Arts Education Related Videos Art and Science Field Trip Providers Elementary Arts …
Hillsborough County Public Schools,FL,https://www.hillsboroughschools.org/,https://www.hillsboroughschools.org/page/school-board,,https://www.hillsboroughschools.org/page/hcps-staff-hub-microsoft-365-login,Missing: tech (crawl limited),2,0,0,1,0,1,,,Home | Hillsborough County Public Schools Skip to content School Board Superintendent Departments Search site Hillsborough County Public Schools - School Board Superintendent Departments Search site Explore Schools Translate Explore Schools Transla…,,05:00 https://www.hillsboroughschools.org/page/informational-flyers/ 0.6 2025-05-21T12:36:30-05:00 https://www.hillsboroughschools.org/page/contact/ 0.6 2026-01-07T12:26:32-06:00 https://www.hillsboroughschools.org/page/principal-induction-program/ 0.6 2025-07-10T11:15:34-05:00 h…
Orange County Public Schools,FL,https://www.ocps.net/,https://www.ocps.net/ocps-mckinney-vento-policy,https://www.ocps.net/family-technology-handbook,https://www.ocps.net/contacts-and-information,,2,0,0,1,0,1,,,Proposed Policy Revisions School Board Members School Board YouTube Channel School Map by Board Member Strategic Plan 2030 Meeting Notices Superintendent Superintendent Home Code of Civility Community Town Hall Meetings Mondays with Maria Organizational Chart Superintendent's Lea…,,My School Cadre School Bell Times School Directory School Improvement Plans School Report Cards School Rezoning Departments Tax Information Contact Us Schools Schools High Schools Apopka High Boone High Colonial High Cypress Creek High Dr. Phillips High East River High Edgewater …
Duval County Public Schools,FL,https://dcps.duvalschools.org/,,,https://dcps.duvalschools.org/page/explore-choices-directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"act information for a specific school. Region Superintendents Contact information for elementary, middle, and high school leadership. Staff Directory Visit our staff directory for employee-specific contact information. Looking for Something Else? Here are the most commonly reques…",,"l contact information for a specific school. Region Superintendents Contact information for elementary, middle, and high school leadership. Staff Directory Visit our staff directory for employee-specific contact information. Looking for Something Else? Here are the most commonly …"
Pinellas County Schools,FL,https://www.pcsb.org/,https://www.pcsb.org/departments/district-services/technology-and-information-systems/technology-related-school-board-policies/753001-staff-use-of-electronic-communication-devices,https://www.pcsb.org/departments/district-services/technology-and-information-systems/technology-related-school-board-policies/753001-staff-use-of-electronic-communication-devices,https://www.pcsb.org/departments/district-services/technology-and-information-systems/technology-related-school-board-policies/753001-staff-use-of-electronic-communication-devices,,2,0,0,1,0,1,,,costs at today’s plan prices. About Us Code of Conduct Board Members Non-Discrimination Statement Important Phone Numbers Message from the Superintendent Summary of Changes Code of Civility Forms & Notifications Parent Communication and Engagement Expectations I. Field Trips and …,,rict Monitoring and Advisory Committee (DMAC) Legislative Resources Legislative Platforms Legislative Delegation Senate Education Committee Contact List House Education Committee Contact List Pre-K-12 Appropriations Subcommittees Track House Bills Track Senate Bills (opens in new…
Polk County Public Schools,FL,https://www.polk-fl.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lee County School District,FL,https://www.leeschools.net/,https://www.leeschools.net/non-_discrimination_policy,,https://www.leeschools.net/our_district/staff_directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,l District of Lee County Follow us on Facebook Follow us on Twitter Subscribe to us on YouTube {1} ##LOC[OK]## Home Menu Our District Staff Directory Departments (District) Change for Change Community Flyers (Peachjar) District Grants Hurricane Ian CDBG-DR Grant Management 21st C…,,School District of Lee County Follow us on Facebook Follow us on Twitter Subscribe to us on YouTube {1} ##LOC[OK]## Home Menu Our District Staff Directory Departments (District) Change for Change Community Flyers (Peachjar) District Grants Hurricane Ian CDBG-DR Grant Management 2…
Volusia County Schools,FL,https://www.volusia.k12.fl.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Brevard Public Schools,FL,https://www.brevardschools.org/,https://www.brevardschools.org/page/school-board,,https://www.brevardschools.org/o/bps/page/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,"unity Show submenu for Community Community #BrevardsBestEducation ARP ESSER Website and Information Become a Mentor Brevard County Resource Directory Education, Civic, & Funding Opportunities Community Resources Fingerprinting Fundraising Get Involved Independent Citizens Oversig…",,Home | Brevard Public Schools Skip to content Menus Contact Calendar FAQ Search site Brevard Public Schools TO SERVE EVERY STUDENT WITH EXCELLENCE AS THE STANDARD Menus Contact Calendar FAQ Search si…
