district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Fillmore,MN,http://www.co.fillmore.mn.us,,,https://www.co.fillmore.mn.us/departments/auditor_treasurer/contacts_for_officials.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,507) 993-8688 Highway Department Ronald Gregg County Engineer rgregg@co.fillmore.mn.us (507) 765-3854 Medical Examiner Dr. R. Ross Reichard Chief Medical Examiner (507) 284-3040 Community Corrections Tom Jensen Fillmore County Community Corrections tjensen@co.fillmore.mn.us (507)…,,h and Death Certificates Sheriff Emergency Management County Jail Soil & Water Conservation District Surveyor Land Use GIS Feedlot How Do I Contact General Information Report an Issue Search County Services Search FAQs Translate Afrikaans Albanian Arabic Armenian Azerbaijani Basq…
Fridley,MN,https://www.ci.fridley.mn.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Woodbury,MN,http://www.ci.woodbury.mn.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hennepin,MN,http://www.hennepin.us,,,https://www.hennepin.us/contact/contact,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"essibility and ADA concerns Feedback and issues form Call us Call 612-348-3000, Monday through Friday, 8 a.m. to 4:30 p.m. Department phone directory Visit us Service center hours, locations and services County buildings Library locations and hours Phone: 612-348-3000 Monday – Fr…",,"ning of Friday, February 27, due to planned maintenance. Navigation Hennepin County, Minnesota Search Search Subscribe Jobs Employees Media Contact Home Residents Information and services Residents Information and services Conservation Elections Emergencies Health and medical Hum…"
Kanabec,MN,http://www.kanabeccounty.org,http://www.kanabeccounty.org/departments/board_information.php,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"to Kanabec County, MN Home DEPARTMENTS BOARD INFORMATION AGENDAS & MINUTES COUNTY ORDINANCES PUBLIC NOTICE COMMITTEES, BOARDS & COMMISSIONS COORDINATOR CAREER OPPORTUNITIES UNION LABOR CONTRACTS EMPLOYEE LINKS ASSESSOR ATTORNEY AUDITOR\TREASURER KANABEC COUNTY DISTRICT COURT KANA…",,"ituent concerns. All meetings of the full Board (regular, special, emergency and adjourned) are open to the public. For agenda information, contact the County Coordinator at 320-679-6440 2025 Kanabec County Board of Commissioners DISTRICT 1 - South Fork, Brunswick, and Grass Lake…"
Steele,MN,http://www.co.steele.mn.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Blaine,MN,http://www.ci.blaine.mn.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Coon Rapids,MN,https://www.coonrapidsmn.gov/,,https://www.coonrapidsmn.gov/ArchiveCenter/ViewFile/Item/1490,https://www.coonrapidsmn.gov/Directory.aspx,Missing: policy (crawl limited),2,0,0,1,0,1,,,icEngage Skip to Main Content Search Government Services Community Business How Do I... Home Staff Directory A A Staff Directory Search the Directory Category: Staff Directory Assessing Building Inspections City Attorney City Clerk City Council City Manager Communications Civic C…,,"coonrapidsmn.gov/
Square Dancing
SeniorServices for more
information!
* Book club meets once a month.
Community strength... for generations Staff Directory • Coon Rapids, MN • CivicEngage Skip to Main Content Search Government Services Community Business How Do I... Home Staff Di…"
Waconia Public Schools (ISD #110),MN,https://www.isd110.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Winona Independent School District (ISD #861),MN,https://www.winonaschools.org/,https://www.winonaschools.org/privacy-policy,https://www.winonaschools.org/district/departments/technology,https://www.winonaschools.org/district/committees/staff-development,,2,0,0,1,0,1,,,Higher Education Open Director of Learning and Teaching Kristie O'Brien ongoing/ex-officio School Board Michael Hanratty ongoing/ex-officio Superintendent Brad Berzinski ongoing/ex-officio Committee Guidelines Staff Development Committee Guidelines (updated January 2021) Committe…,,quest Form (opens in new window/tab) K-12 Student Handbook Lunch & Breakfast Menus School Supplies Schoology (Parents) Schoology (Students) Staff Directory Winona Health School-based Health Clinics (opens in new window/tab) Winhawk Spirit Wear Portrait of a Graduate Staff Staff P…
