district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Winooski,VT,http://www.winooskivt.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Barre (city),VT,http://www.ci.barre.vt.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Woodstock,VT,http://www.townofwoodstock.org/,https://www.townofwoodstock.org/ordinances-policies/municipal-water-ordinance,,https://www.townofwoodstock.org/departments/financial-department-administration/taxes/online-payment-option,Missing: tech (crawl limited),2,0,0,1,0,1,,,te of insurance All permits are approved by various departments depending on the permit type: All Over Weight Truck permits approved by the Director of Public Works Town Driveway Permit approved by the Director of Public Works and the Municipal Manager Town Excavation are approve…,,"the Parcel ID if known or SPAN number. (enter) Input telephone number (enter) To submit hit the ‘Add Item’ button If any questions, please contact the Community Development Office at (802) 457-7515 Municipal Permits Municipal Permit Payment When Paying online please put the amoun…"
Springfield,VT,https://springfieldvt.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"refighter Vermont. Reinvented Springfield Welcome to Springfield Things to do Job Openings Police, Fire & Ambulance Emergency Notifications Contact Us 96 Main Street, Springfield VT 05156 Tel: 802.885.2104 Fax: 802.885.1617 Website Inquiries Have comments or questions regarding t…"
Hinesburg,VT,http://www.hinesburg.org/,http://www.hinesburg.org/ordinances-policies-ethics,,http://www.hinesburg.org/contacts-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,cations Frequently Asked Questions Stay Connected Subscribe to Notifications File Open Meeting Law Complaint All Topics A-Z Information A-Z Directory Notify Me Employment Forms & Applications News Community Links Annual Town Report » The Hinesburg Annual Town Report is available …,,"Hinesburg, VT | Skip to main content Home Keywords Facebook Contact Us About About Departments Library Local Organizations Schools Employment Government Government Select Board Boards & Committees Town Budge…"
Shelburne,VT,http://www.shelburnevt.org/,,,https://www.shelburnevt.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"5-5121 Library Constable 802-985-8051 Health Officer 802-985-8051 Emergency Management 8029858051 Address Holder http://www.shelburnevt.org/directory.aspx?DID= Live Edit On-Line Payments Applications, Policies, Ordinances, Contracts Bids, RFQ's & RFP's Budgets Colleen Haag Public…",,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Shelburne, VT • CivicEngage Skip to Main Content Search Government Services Residents Business How Do I... Home Staff Dire…"
Grafton,VT,https://graftonvt.org/,https://graftonvt.org/documents/policies-2018-current-and-drafts/,,https://graftonvt.org/directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Village Center Designation MAP 2020 Community Library Schools Cemetery/Veteran Information Photos Property Tax Information Public Services Directory Calendar Built with Accessibility in mind: ADA Optimized, Section 508 Compliant, and WCAG 2.1 Level AA. Verified as of 05/16/2025. …",,"ton Village Center Designation MAP 2020 Directory Calendar Policies & Ordinances A review of all policies and ordinances is ongoing, please contact Town Administrator ( [email protected] ) for more information. Following links open in a new window. Ordinances: Ordinance Regulatin…"
Royalton,VT,http://www.royaltonvt.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Marlboro,VT,https://marlborovt.us/,https://marlborovt.us/privacy-linking-policy/,,https://marlborovt.us/government/municipal-directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"mmission Listers Planning Commission Treasurer Zoning Department Documents Municipal Calendar Municipal Directory Online Bill Pay Municipal Directory - Marlboro, Vermont | Marlboro, Vermont - Our Community Municipal Directory - Marlboro, Vermont Marlboro, Vermont Municipal Direct…",,"f the Town Ballot articles. Link: https://us02web.zoom.us/j/89235574264 Meeting Id: 89235574264 To Join By Phone: 1-646-558-8656 Questions? Contact Forrest Holzapfel, Marlboro Town Clerk NOTICE OF SPECIAL MARLBORO SELECT BOARD MEETING Posted January 23, 2026 by admin & filed unde…"
Thetford,VT,http://www.thetfordvermont.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
