district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Aspen School District 1,CO,https://aspen.gov,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,", Trails, Transportation, Utilities, and Water Departments. Get Involved How to get involved with local government in Aspen, Colorado STAFF DIRECTORY Contact Us Find contact information for the city and other important services. Contact Us via Aspen 311 Connect Use request tracke…",,"uality, Trails, Transportation, Utilities, and Water Departments. Get Involved How to get involved with local government in Aspen, Colorado STAFF DIRECTORY Contact Us Find contact information for the city and other important services. Contact Us via Aspen 311 Connect Use request …"
Aguilar Reorganized School District RE-6,CO,http://www.aguilarschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pueblo School District 60,CO,http://www.pueblocityschools.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Sheridan School District 2,CO,http://www.ssd2.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"staff, and parents. We offer an outstanding benefits package and are committed to the professional development of our employees. About Our Superintendent Mission/Vision Community Resources District Accountability Committee Sheridan School District 2 4150 South Hazel Court. Englew…",,"e election or appointment. The candidate must not have been convicted of a sexual offense against a child. C.R.S. 22-31-107(1), (5). Please contact Polly Plancarte ( [email protected] ) 720-833-6616 to complete a request to be considered and appointed for the board seat. Meetings…"
School District 27J,CO,http://sd27j.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pueblo County School District 70,CO,https://www.district70.org/,,,https://www.district70.org/district-information/directory-of-staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,bile Links for Staff Calendar Translate Toggle Schools Container - Mobile Find a School Open Mobile Main Nav District Information About D70 Superintendent's Message Board of Education District Accountability District Departments Title IX Contact Us Colorado Teachers and Support S…,,e Main Nav District Information About D70 Superintendent's Message Board of Education District Accountability District Departments Title IX Contact Us Colorado Teachers and Support Staff Awards Parents News & Information Handbook & Forms Curriculum Literacy Universal Preschool In…
Julesburg School District RE-1,CO,https://www.julesburg.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"dentity, gender expression, marital status, national origin, religion, ancestry, or need for special education services. Any person may submit questions and/or a complaint with the Title IX Coordinator, Andi Weisshaar ( weisshaar_an@julesburg.org ) 970-474-3365, 401 Cottonwood St…",,"gar Boys Max Preps Cougar Girls Max Preps Cougar Live Broadcast Find Us Julesburg School District 401 Cottonwood Street Julesburg, CO 80737 Phone: 970-474-3365 Fax: 970-474-3592 Title IX Policies Website Accessibility Stay Connected Julesburg School District Mission ""The Julesbur…"
Poudre School District R-1,CO,https://www.psdschools.org/,https://www.psdschools.org/district/district-policies,,https://www.psdschools.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"gle submenu About PSD PSD Celebrations! The Learning, Media, and Digital Ecosystem Committee Calendars and Schedules District Policies Your Superintendent Board of Education PSD's Strategic Plan Facilities Sustainability Intergovernmental Agreements Finance Strategic Sourcing and…",,"istrative Building (an appointment-only facility) 2407 LaPorte Avenue Fort Collins, CO 80521-2297 (970) 490-3609 Map and Directions Connect Contact Us Calendar News Volunteer About Careers Tools Pay for Meals School Locator Bus Information Facility Rental Registration Staff | Par…"
Boulder Valley School District RE-2,CO,http://www.bvsd.org/,https://www.bvsd.org/about/board-of-education/policies,,https://www.bvsd.org/connect-with-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,alley School District is dedicated to having a collaborative relationship with its stakeholders. We welcome your feedback. Learn More Staff Directory Records Requests Communicating with Families Community Partnerships MyBVSD Login Schools Careers Make a Report Safety Concern? Fin…,,"Board of Education BVSD is the Place to Be BVSD School Finder District Accountability Committee Events Financial Transparency News Policies Staff Directory Strategic Plan Superintendent Vision, Mission and Values Land Acknowledgement We are Data-Driven Board of Education Board of…"
Widefield School District 3,CO,http://www.wsd3.org,https://www.wsd3.org/about-widefield/board-of-education,,https://www.wsd3.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"tcher, president; Michelle Hubbard, vice president; William ""Wen"" Dolphin, board director; Tina West, Treasurer; and Luis Ybarra Jr., board director) Diligent Community BOARD MEETINGS Regular evening meetings are held at 6 p.m. (unless the hour is designated by the Board of Educa…",,reet Colorado Springs CO 80911 719-391-3000 719-390-4372 Financial Transparency Accessibility Board Policies ESSER Funds Non-Discrimination Contact Us Facebook (opens in new window/tab) Instagram (opens in new window/tab) Youtube (opens in new window/tab) Powered by Finalsite Boa…
