district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
New York City Department of Education,NY,https://www.schools.nyc.gov/,https://www.schools.nyc.gov/learning/student-journey/promotion-policy,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"re for all the families of the City of New York. 1.3. Mission The PEP is committed by mission and State law to working with the Chancellor, superintendents, community and citywide education councils, principals, and school leadership teams, as a part of the governance structure r…",,avigation Hands Forming a Heart academics accessibility alert arts backpack calendar camera careers circle-check circle pointing down clock contact envelope Facebook fax cellphone inside circle slash file globe globe grades help information link off location lunch Connect Notify …
Buffalo Public Schools,NY,https://www.buffaloschools.org/,https://www.buffaloschools.org/page/board-of-education,,https://www.buffaloschools.org/o/bps/page/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ptional) : Archive Add program image: Add program title: Alumni Spotlight Add program text: Kara McGuire (Hutch Tech 1992) is the Assistant Director of the Library at Daemen University, where she oversees essential library operations and manages the professional development of th…",,Reasonable Accommodation Request Remote Teaching Resources S SBMT School Messenger Call System SchoolDude Schoology Login Schoology Support Staff Directory Step Up to Writing Login T Teacher Center (BTRC) Team Dynamix Technology Thrillshare (Web Editing) Toshiba Printers Translat…
Rochester City School District,NY,https://www.rcsdk12.org/,https://www.rcsdk12.org/about/news-media-and-releases/board-of-education-meeting-broadcast-directory,https://www.rcsdk12.org/schooldirectory/high-school/edison-career-technology-high-school,https://www.rcsdk12.org/schooldirectory/high-school/edison-career-technology-high-school,,2,0,0,1,0,1,,,ive Committee School Based Planning Teams DASA Online Bully Reporting RCSD Parent Handbook (opens in new window/tab) Departments Department Directory Accountability Research and Evaluation Public Data Dashboard External School Operations Accounting Accounts Payable Assessment and…,,ases Board of Education Meeting Broadcast Directory RCSD YouTube (opens in new window/tab) Make a Freedom of Information Law (FOIL) request Contact the Department of Communications District Comprehensive Improvement Plan Receivership Schools and Innovation Facilities Moderization…
Syracuse City School District,NY,https://www.syracusecityschools.com/,,https://www.syracusecityschools.com/itc,,"Missing: policy, contact (crawl limited)",2,0,0,1,0,1,,,"y School District | Syracuse, NY Skip to main content About ABOUT About Calendars Careers Code of Conduct News Notifications Strategic Plan Superintendent COMMUNITY Building Men Program Educational Foundation Mentors & Volunteers Partnerships Request for Proposal Say Yes BOARD OF…",,lic Safety Special Education Student Records Student Support Services Superintendent's Office Teaching and Learning Transportation more ... Contact CONTACT INFORMATION SCSD District Office (315) 435-4499 Superintendent - Pamela J. Odom (315) 435-4161 Executive Chief of Admin and …
Yonkers Public Schools,NY,https://www.yonkerspublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"nrollment Calendars Parent portal Menus Strategic Plan 2030 m365 Careers Find Us Yonkers Public Schools One Larkin Center Yonkers, NY 10701 Phone: 914-376-8000 Stay Connected Copyright © 2026 Yonkers Public Schools. All rights reserved. Powered By Apptegy Visit us to learn more Y…"
Albany City School District,NY,https://www.albanyschools.org/,https://www.albanyschools.org/boe/index,,https://www.albanyschools.org/about/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,s on Instagram! Visit our YouTube Channel (opens in new window) Sign up for SNN Search our Site Home About Show sub menu for About From the Superintendent Equity in Education Our Guiding Principles Our Demographics Our Budget Contact Us District Administration Enroll in Our Schoo…,,"Phone Use Home About Contact Us Contact us (518) 475-6000 • 1 Academy Park, Albany, NY 12207 Online contact form Communication guide Search staff directory First Name Last Name Search by Name Department Select Department City School District of Albany About Academics Athletics Bo…"
Utica City School District,NY,https://www.uticaschools.org/,https://www.uticaschools.org/families/policies/,https://www.uticaschools.org/departments/technology/,https://www.uticaschools.org/about-us/staff-directory,,2,0,0,1,0,1,,,"ntendent's Office UCSD Right to Appeal Videos (November 2023 - Present) Videos (Legacy) Departments Show sub menu for Departments Athletics Assistant Superintendent of Business, Finance, & Operations Benefit Services, State Aid Planning, & Capital Accounting Buildings & Grounds B…",,RED) Program McKinney-Vento Homeless Assistance Act Newsletters Utica Gems Parent Notices Parent Portal ParentSquare Registration Resources Staff Directory Student Data Security Summer Programs Whom to Contact Schools Show sub menu for Schools HIGH SCHOOL Proctor High School MIDD…
Schenectady City School District,NY,https://www.schenectady.k12.ny.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Newburgh Enlarged City School District,NY,https://www.newburghschools.org/,,,https://www.newburghschools.org/staffdirectory.php?Location=DIST,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"es Supervisor for Exceptional Learners DIST cbarnes@necsd.net Ralph Burts District Hearing Officer DIST rburts@necsd.net Ms. Julie Chambers Director of Literacy DIST 8455633481 jchambers@necsd.net Dr. Christina Cloidt Director, Registration & Special Projects DIST ccloidt@necsd.n…",,"ership State's Parent Dashboard (NYSED) School Transformation Office Staff/Faculty Directory American Rescue Plan (ARP) ESSER Funds SCHOOLS Contact, Schedules, & Info Pre-K Program Balmville Fostertown Gardnertown Gidney Avenue Horizons-on-the-Hudson Meadow Hill New Windsor Templ…"
Niagara Falls City School District,NY,https://www.nfschools.net/,https://www.nfschools.net/our-district/board-of-education/contact-us,,https://www.nfschools.net/our-district/board-of-education/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ebsite helps you learn, live, and access resources efficiently. Thank you for visiting. We trust you will find what you need! Mark Laurrie, Superintendent, Niagara Falls City School District. Quicklinks Official District Notices District Site Shortcuts Official District Notices O…",,"ar Search Our District Mission, Vision Statements, Strategic Goals Board of Education About the Board Current and Past Years' Board Minutes Contact Us Board Agenda and Minutes on BoardDocs Board Meeting Calendar District YouTube Channel Board Member Work Area Board Policies Capit…"
Mount Vernon City School District,NY,https://www.mtvernoncsd.org/,https://www.mtvernoncsd.org/departments/technology/privacy-policy,https://www.mtvernoncsd.org/departments/technology/privacy-policy,https://www.mtvernoncsd.org/our-district/administration,,2,0,0,1,0,1,,,"trong hearts for life. Second community forum held to discuss budget priorities for 2026-27 school year Feb 10 2026 Dr. Demario Strickland, Superintendent of the Mount Vernon City School District held his second community forum on Monday, February 9 at Mount Vernon High School to…",,strict News and Videos News Archive Districtwide Safety Plan District Report Card Mount Vernon's Jewel Box NYS Monitor Organizational Chart Staff Directory Schools Denzel Washington School of the Arts Mount Vernon High School Mount Vernon STEAM Academy Benjamin Turner Academy Edw…
White Plains City School District,NY,https://www.wpcsd.org/,https://www.wpcsd.org/page/2024-boe-candidate-bios,,https://www.wpcsd.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,COVID UPDATES COVID-19 Links Medicare Advantage Plan Information Facility Use Request MyApps My School Bucks Safety/MSDS Information Staff Directory Telehealth Food Services Facility Use Request Community Schools Health Services Physical Health & Examination Forms Physical Health…,,for District District Our Schools Our District NYSED Parent Dashboard Superintendent Show submenu for Superintendent Superintendent Search Staff Directory District Newsletters Calendars Budget and Taxes District Office Show submenu for District Office FOIL Requests Employment Fac…
Binghamton City School District,NY,https://www.binghamtonschools.org/,https://www.binghamtonschools.org/page/board-of-education,,https://www.binghamtonschools.org/page/administration,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"Binghamton's new mobile app today by searching ""Binghamton City School District"" on your mobile device's app store! Next (B) CONNECTED Item Contact Us Binghamton City School District 164 Hawley Street Binghamton, NY 13901 Phone 607.762.8100 Click here to sign up for district news…"
Ithaca City School District,NY,https://www.ithacacityschools.org/,https://www.ithacacityschools.org/page/board-of-education,,https://www.ithacacityschools.org/page/contacts,Missing: tech (crawl limited),2,0,0,1,0,1,,,nu for About Us About Us Accountability Metrics Board of Education Budget Development Careers Central Leadership District News Registration Superintendent Vision and Mission Community Show submenu for Community Community 2019 Capital Project 2026 Capital Project Referendum Board …,,Home | Ithaca City School District Skip to content Calendar Careers Cell Phones Contact e-Insider SchoolTool Search site Ithaca City School District - Calendar Careers Cell Phones Contact e-Insider SchoolTool Search site Explor…
Kingston City School District,NY,https://www.kingstoncityschools.org/,https://www.kingstoncityschools.org/plans-policies-and-procedures/technology-plan,https://www.kingstoncityschools.org/plans-policies-and-procedures/technology-plan,,Missing: contact (crawl limited),2,0,0,1,0,1,,,nt Policy Parent Compacts School Improvement Plans Social Media Guidelines School Safety Plan Shared Decision Making Special Education Plan Superintendent Contract Technology Plan Website Accessibility Guidelines District Home For Families Parent Portal (opens in new window/tab) …,,S District Report Card (opens in new window/tab) Pre-Kindergarten Program About Meagher Pre-K Universal Pre-K Registration School Directory Staff Directory DEPARTMENTS Athletics Business Office Communications English as a New Language (ENL) Facilities Food Services Health Service…
Middletown Enlarged City School District,NY,https://www.middletownk12.org/,https://www.middletownk12.org/board-of-education/policies-and-regulations,,https://www.middletownk12.org/our-district/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,"27, 2021 Regular Voting Meeting July 21, 2021 Workshop Meeting June 23, 2022 Special Voting Meeting Special Voting Agenda Personnel Report Superintendent-1 Facilities 12-Month Calendar June 14 Workshop/Voting Meeting Recognition Program Workshop/Voting Agenda Addendum Personnel R…",,"s - with coordinated access to mental health supports, substance use treatment and services for intellectual and developmental disabilities Contact information is below. Phone: (877) 652-7624 Official PerformCare Website Logo Image Logo Title Middletown Township School District 8…"
