district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Seward,NE,http://www.connectseward.org/cgov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Blaine,NE,http://www.blainecounty.ne.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Demographics,NE,https://www.nebraska.gov/,https://www.nebraska.gov/policies/,,https://www.nebraska.gov/contact/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"protect that information. However, no e-commerce solution, website, database or system is completely secure or “hacker proof.” You are also responsible for taking reasonable steps to protect your personal information against unauthorized disclosure or misuse. Children’s Personal …",,"e Branch Find a Job Public Calendar View All No Events Scheduled at this time View All Connect Facebook X Flickr LinkedIn YouTube Resources Contact Us Awards Site Map Policies Powered by Tyler Technologies PO Box 3395 Omaha, NE 68103 USA © State of Nebraska Nebraska.gov Policies …"
Hastings Public Schools #18,NE,https://hastingspublicschools.org/,https://hastingspublicschools.org/district/learn-more/reports-and-policies/wellness/,,https://hastingspublicschools.org/contact/,Missing: tech (crawl limited),2,0,0,1,0,1,,,n More about HPS Public Notifications News Foundation DONATE HPS Music Campaign Who We Are Alumni What We Do News Calendar Employment Staff Directory Calendars District Calendar School Calendars HMS Activities Calendar SH Activities Calendar TOP NEWS Nebraska SMART Free Online Tu…,,s Learn More about HPS Public Notifications News Foundation DONATE HPS Music Campaign Who We Are Alumni What We Do News Calendar Employment Staff Directory Calendars District Calendar School Calendars HMS Activities Calendar SH Activities Calendar TOP NEWS Nebraska SMART Free Onl…
Platte,NE,http://www.co.platte.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Thomas,NE,https://thomascountyne.gov/,https://thomascountyne.gov/webpages/board/board_members.html,,https://thomascountyne.gov/webpages/contacts/contacts.html,Missing: tech (crawl limited),2,0,0,1,0,1,,,"'s Office Boating Guide Boating Registration Drivers Licenses FAQ Titles and Registration Unclaimed Property Veterans Services Officer Weed Superintendent Calendar Contacts Helpful Links Services Military Discharges In order to record a military discharge, you must obtain a DD, F…",,"ing Christmas Holiday December 25 New Year's Day January 1, 2027 Copyright © 2010 MIPS Inc. All rights reserved. | Disclaimer Thomas County Contact Information Home Thomas About History Offices Assessor Attorney Board of Commissioners Board Members Meeting Agenda Meeting Minutes …"
Elkhorn Public Schools #10,NE,https://www.elkhornweb.org/,https://www.elkhornweb.org/blog/policy/policy/,https://www.elkhornweb.org/programs/technology/,https://www.elkhornweb.org/about/contact/,,2,0,0,1,0,1,,,"nts in grades 5-12 are encouraged to... 2024-25 Annual Report Dec 29, 2025 Click here to view the 2024-25 Annual Report. A Message from the Superintendent The powerful partnership between our schools and the community we serve remains a vital component of the continued success of…",,ard Members Budget & Financial Information Committees & Officers Meetings Agendas/Minutes Policies Strategic Plan Superintendent’s Contract Contact District Map & Boundaries District Staff News/Posts Transcript Request Parents Activity Pass Daily Schedule Facility Use Inclement W…
Legislature,NE,https://nebraskalegislature.gov,,,https://nebraskalegislature.gov/contact/privacy.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Listing 2026 Introduced Legislation 2026 Legislative Session Calendar Hearing schedules Senator List (Print Friendly) 2026 Legislative Committees 2025 Carryover Bills and Resolutions LFO Directory of State Agency Programs and Funds General Fund Financial Status Public Input Optio…,,"re? Apply to work for the Legislature Apply Here Frequent Questions Americans with Disabilities Act Notice Privacy Policy Glossary of Terms Contact Us Disclaimer OFFICIAL NEBRASKA GOVERNMENT WEBSITE Copyright © Nebraska Legislature, all rights reserved. Nebraska Legislature - Pri…"
Webster,NE,http://www.co.webster.ne.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pierce,NE,http://www.co.pierce.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Valentine Community Schools #6,NE,https://www.valentinecommunityschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"and extra curricular activities Find Us Valentine Community Schools 431 North Green St. Valentine, NE 69201 Phone: (402) 376-1780 Title IX Coordinator Cristen Witte (402) 376-3237 cwitte@vcsbadger.net Stay Connected According to district policy, the school district shall notify s…",,"S offer a multitude of sporting and extra curricular activities Find Us Valentine Community Schools 431 North Green St. Valentine, NE 69201 Phone: (402) 376-1780 Title IX Coordinator Cristen Witte (402) 376-3237 cwitte@vcsbadger.net Stay Connected According to district policy, th…"
Puerto Rico,NE,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Stanton,NE,https://stantoncounty.nebraska.gov/,,,https://stantoncounty.nebraska.gov/about/county-directory-0,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,nty Budget Information (available on the Budget's Tab) Application for Juror Postponed/Excused Employment Notice and Job Description * Weed Superintendent - parttime * Custodian Position - courthouse Application for Employment (print and complete) Information 804 Ivy St PO Box 34…,,ed three years later. Learn More Our Offices Stanton County operates under 16 separate offices. View the duties of each office and the main contact information. Public Drop Box located at the front entrance of the Courthouse (left side of front door) County Assessor Stanton Count…
Pender Public Schools #1,NE,http://www.penderschools.org/,,https://www.penderschools.org/page/25-26-parent-technology-information,https://www.penderschools.org/o/district/page/contact-us,Missing: policy (crawl limited),2,0,0,1,0,1,,,"ion Emeeting Link Board of Education Minutes Board of Education Policies Administrative Reports to the Board of Education Mission Statement Superintendent Transparency Act Annual Report, 2024-2025 Community Show submenu for Community Community Pender PTO Pender Times Website Dist…",,PENDER PUBLIC SCHOOLS Skip to content Canvas Parent Powerschool Parent Pay your Bill Contact Us Search site PENDER PUBLIC SCHOOLS It's a Great Day to Be a Pendragon! Canvas Parent Powerschool Parent Pay your Bill Contact Us Search s…
Arthur,NE,https://arthurcounty.nebraska.gov/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"Highway Superintendent Sheriff Treasurer Veterans Services Officer Weed Superintendent Zoning Administrator Services Photo Gallery Highway Superintendent David Hardin 410 Whitman road Sutherland, NE. 69165 308-650-0369 arthurcountyroads@gmail.com Arthur, NE ARTHUR WEATHER 205 Fir…",,"he services Arthur County, Nebraska offers its citizens. Arthur, NE ARTHUR WEATHER 205 Fir St. | Arthur, NE 69121 | Phone: (308) 764-2201 | Contact Webmaster | Nebraska.gov | Policies | Login Home | Arthur County, Nebraska Skip to main content All State Agencies | All State Servi…"
Umo N Ho N Nation Public Schools #16,NE,http://www.unpsk-12.org/,,,https://www.unpsk-12.org/staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ctoria Hudnall Shinga Zhinga Early Childhood Teacher (Infant Room) Daycare (Shiⁿga Zhiⁿga) Vida Stabler Umoⁿhoⁿ Language and Culture Center Director Culture (402) 837-5628 ext.3416 https://sites.google.com/unpsk-12.org/umholanguageculturalcenter/home Wilfred Lovejoy Jr Kitchen Ki…,,"ire alternative means of communication for program information (e.g , Braille, large print, audiotape, American Sign Language, etc.) should contact the responsible Agency or USDA's TARGET Center at (202) 720-2600 (voice and TTY) or contact USDA through the Federal Relay Service a…"
Richardson,NE,http://www.co.richardson.ne.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wheeler,NE,http://www.wheelercounty.ne.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lyons-Decatur Northeast Schools #20,NE,http://www.lyonsdecaturschools.org/,https://www.lyonsdecaturschools.org/page/board-of-education-notices,,https://www.lyonsdecaturschools.org/staff,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,nt Registration Form Self-Administered Medication Form Non-Prescription Medication Form Prescription Medication Form Enrollment - Emergency Contact Form School Counselor School Counselor Quick Links Show submenu for Quick Links Quick Links SRS Canvas E Funds for Schools (Making P…
Morrill,NE,https://morrillcountyne.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Waverly School District 145,NE,http://www.district145.org/,https://www.district145.org/page/board-of-education,https://www.district145.org/page/technology-staff,https://www.district145.org/page/technology-staff,,2,0,0,1,0,1,,,mployment Frequently Asked Questions Foundation for Education Nebraska Education Profile District Profile Negotiated Agreements Safety/Security Staff Directory Financial Assistance - Fee Waiver Student Services Show submenu for Student Services English Language Learners Special E…,,yment Frequently Asked Questions Foundation for Education Nebraska Education Profile District Profile Negotiated Agreements Safety/Security Staff Directory Financial Assistance - Fee Waiver Student Services Show submenu for Student Services English Language Learners Special Educa…
Sherman,NE,https://shermancounty.nebraska.gov/,https://shermancounty.nebraska.gov/board,,https://shermancounty.nebraska.gov/about/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,"intendent Nebraska Extension Office - Sherman County Planning and Zoning Register of Deeds Sheriff Treasurer Veterans Services Officer Weed Superintendent Sherman County, Nebraska 630 O Street P.O. Box 456 Loup City, NE 68853 Phone: 308-745-1513 Driver's License Examination Locat…",,"nt Sherman County Toggle navigation Toggle Navigation Sherman County Main menu About About Us Elected Officials Historical Information News Contact Us Board Calendar Links Offices Services Employment Welcome to Sherman County, Nebraska Online Services A complete list of online go…"
Hooker,NE,http://www.co.hooker.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Greeley,NE,http://www.greeleycounty.ne.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Perkins,NE,http://www.co.perkins.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Cheyenne,NE,http://www.co.cheyenne.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Westside Community Schools #66,NE,https://westside66.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Thayer,NE,http://www.thayercounty.ne.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Battle Creek Public Schools #5,NE,http://www.battlecreekpublicschools.org/,https://www.battlecreekpublicschools.org/about/privacy-policy,,https://www.battlecreekpublicschools.org/about/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,Education Business and Operations Careers Community Engagement Contact COVID-19 Data and Reporting News Parent Support Privacy Policy Staff Directory Title IX Programs Show children BCPS Summer Programs Bearcats Beyond The Bell Alumni Athletics BCCHS Hall of Fame BCPS Education F…,,rd of Education Business and Operations Careers Community Engagement Contact COVID-19 Data and Reporting News Parent Support Privacy Policy Staff Directory Title IX Programs Show children BCPS Summer Programs Bearcats Beyond The Bell Alumni Athletics BCCHS Hall of Fame BCPS Educa…
Cherry,NE,http://www.co.cherry.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Saline,NE,http://www.co.saline.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Nuckolls,NE,http://www.NuckollsCounty.NE.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Keya Paha,NE,http://www.co.keya-paha.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Kimball,NE,http://www.co.kimball.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fillmore,NE,http://www.fillmorecounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Franklin,NE,http://www.co.franklin.ne.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Banner,NE,http://www.bannercounty-gov.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"luar formulir pendaftaran. Calon pemain harus mengisi formulir tersebut dengan nama lengkap, usia saat mendaftar, nomor rekening dan alamat email yang masih aktif. Pemain tidak perlu takut saat mencantumkan nama asli dan usia, sebab saat agen sudah menetapkan player menjadi membe…"
Falls City Public Schools #56,NE,http://www.fallscity.esu6.k12.ne.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Howard,NE,http://www.howardcounty.ne.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Gosper,NE,http://www.co.gosper.ne.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
