district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Berrien Springs Public Schools,MI,https://www.homeoftheshamrocks.org/,https://www.homeoftheshamrocks.org/nondiscrimination-policy/,,https://www.homeoftheshamrocks.org/district/staff-directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,de Goals Enrollment Information Schools of Choice Non-Resident Information FOIA Information Inclement Weather State & Federal Reports Staff Directory Contact Us Nondiscrimination Policy Title IX Resources Departments Adult Education (ESL) Audiology / Hearing Center Communications…,,rictwide Goals Enrollment Information Schools of Choice Non-Resident Information FOIA Information Inclement Weather State & Federal Reports Staff Directory Contact Us Nondiscrimination Policy Title IX Resources Departments Adult Education (ESL) Audiology / Hearing Center Communic…
Benton Harbor Area Schools,MI,https://www.bhas.org/,,,https://www.bhas.org/o/bhas/page/contact-us,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,"or call (269) 605-1045 to enroll in person. End of Gallery enroll at BHAS District Calendar Inclement Weather Rooms support transportation contact us PowerSchool get invloved Read more Find Us Benton Harbor Area Schools 870 Colfax Avenue Benton Harbor, MI 49022 269-605-1000 Schoo…"
St. Joseph Public Schools,MI,https://www.sjschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,", communicate and work together to create a brighter future. Find Us St. Joseph Public Schools 2580 S. Cleveland Avenue St Joseph, MI 49085 Phone: (269) 926-3100 Fax: (269) 926-3188 Schools St. Joseph Public Schools - District Brown Elementary School E.P. Clarke Elementary School…"
Gaylord Community Schools,MI,https://www.gaylordschools.com/,https://www.gaylordschools.com/page/school-board,,https://www.gaylordschools.com/o/gcs/page/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,Show submenu for more Search site Sign in Read more athletics food service forms & Links mckinney vento PARENT PORTAL school closures staff directory Transportation About GCS Gaylord Community Schools is a K - 12 public school district located in northern lower Michigan. Our dist…,,More Show submenu for more Search site Sign in Read more athletics food service forms & Links mckinney vento PARENT PORTAL school closures staff directory Transportation About GCS Gaylord Community Schools is a K - 12 public school district located in northern lower Michigan. Our…
Mackinaw City Public Schools,MI,https://mackcity.k12.mi.us/,https://mackcity.k12.mi.us/our-district/school-board/,,https://mackcity.k12.mi.us/our-district/staff-directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"oyed by the Mackinaw City Public School district since 1998. After serving initially as elementary principal, Mr. Curth took on the role of superintendent in 2004. Mrs. Rebecca Valot began employment with the Mackinaw City Public School district in 2002. In the fall of 2021, she …",,kip to Navigation Search Form Quick Search: Search Like us on Facebook Main Menu Our District Administration School Board District Calendar Staff Directory Schools of Choice Advanced Notice of Pesticide Treatment Food Service FOIA Guildelines Athletics Our Schools Elementary Scho…
Clare Public Schools,MI,https://www.clare.k12.mi.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"site Menu Schools Translate Menu Schools Translate Skip Gallery End of Gallery Find Us Clare Public Schools 201 E State St Clare, MI 48617 Phone: (989) 386.9945 Fax: (989) 386.6055 Schools Clare Public Schools Primary School Middle School High School Pioneer High School Clare Ath…"
Farwell Area Schools,MI,https://www.farwellschools.net/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"e. Fine Arts Program Drama, Art, Choir, Instrumental Music, Wood Shop Find Us Farwell Area Schools 399 E. Michigan Street Farwell, MI 48622 Phone: (989) 588-9917 Fax: (989) 588-6440 Schools Farwell Area Schools Farwell Elementary Farwell Middle School Farwell High School Timberla…"
Gladwin Community Schools,MI,https://www.gladwinschools.net/,https://www.gladwinschools.net/o/gcs/page/board-policies,,,"Missing: tech, contact (crawl limited)",3,1,0,1,0,1,"ly Left Blank 4226 District Employment Intentionally Left Blank 4227 District Employment No Expectation of Privacy 4228 District Employment Acceptable Use of Generative Artificial Intelligence 4229 District Employment Definition 4301 District Employment Employee Pay, Including Mi…",,Gladwin Athletics Stay Connected Copyright © 2026 Gladwin Community Schools. All rights reserved. Powered By Apptegy Visit us to learn more Superintendent Evaluations | Gladwin Community Schools Skip to content Gladwin Community Schools Elementary Intermediate Junior High High Sc…,,"cademic Matters Intentionally Left Blank 5106 Students, Curriculum, and Academic Matters Investigations, Arrests, and Other Law Enforcement Contact 5201 Students, Curriculum, and Academic Matters Unlawful Discrimination, Harassment, and Retaliation Against Students 5202 Students,…"
Bath Community Schools,MI,https://www.bathschools.net/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"hat Food Services Transportation Athletics Job Opportunities Bath School Museum Find Us Bath Community Schools 6175 Clark Rd Bath, MI 48808 Phone: (517) 641-6721 Fax: (517)641-6958 Website Accessibility Statement Schools Bath Community Schools Bath Elementary School Bath Middle S…"
DeWitt Public Schools,MI,https://www.dewittschools.net/,https://www.dewittschools.net/board-of-education,,https://www.dewittschools.net/staff-links,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ublicly upon completion in Spring 2026. Please complete the survey by February 28, 2026 . Please direct any questions to Mr. Kevin Robydek, Superintendent of Schools, via email at dpsbond@dewittschools.net. Thank you in advance for participating in the survey. Click here to take …",,ict Forms School of Choice Calendar Schools Fuerstenau ECC Schavey Road Scott School Herbison Woods DeWitt Middle School DeWitt High School Staff Directory Staff Links Employee Wellness Resources Insurance Presentation Home of the Panthers Home Board of Education Live Stream Huma…
Breitung Township Schools (Kingsford),MI,https://www.kingsford.org/,,,https://www.kingsford.org/staff-directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"School Kingsford Middle School Woodland Elementary School × Close Homepage Pause Play Previous Next Enrollment School Board Calendar Staff Directory Employment Athletics Welcome to Breitung Township Schools The Mission of Breitung Township Schools is to partner with students, fam…",,Hall of Fame Schools Kingsford High School Kingsford Middle School Woodland Elementary School Popular Links Athletics Enrollment Meal Menus Staff Directory Staff Resources Search Home District Information District Information Emergency Drill Documentation Food Service FAQ Free an…
Norway-Vulcan Area Schools,MI,https://www.nvknights.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,arn more Finance Payroll | Norway Vulcan Area Schools Skip to content Norway Vulcan Area Schools Home of the Knights Menu Translate Search site Finance Director and Payroll Consult the individuals below for questions about financing and payroll. We work in collaboration with the …,,"ire alternative means of communication for program information (e.g , Braille, large print, audiotape, American Sign Language, etc.) should contact the responsible Agency or USDA's TARGET Center at (202) 720-2600 (voice and TTY) or contact USDA through the Federal Relay Service a…"
