district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
"Tulsa Public Schools , Tulsa",OK,https://www.tulsaschools.org/,https://www.tulsaschools.org/about/board-of-education/policysearch,,https://www.tulsaschools.org/careers/teach/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ements Retirement Compensation Teacher Transfer List Employee Offers and Discounts Paid Time Off News Media Resources Open Records Requests Superintendent Connect With Us Connect With Us We love to hear from the communities we serve, so we hope you will get in touch with any ques…",,ation and Benefits School Leaders Substitute Teachers Support Professionals Teachers Substitute Teachers Empower Cohort for Teacher Leaders Contact Us Tulsa Teacher Corps Tulsa Teacher Corps Family Resources Parent Resources Strong school and family partnerships are critical to s…
Northern Mariana Islands,OK,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
"Little Axe Public Schools , Norman",OK,https://www.littleaxeps.org/,https://www.littleaxeps.org/page/board-of-education1,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"OPEN POSITIONS Childcare| Childcare Director Elementary Administrative Assistant - Office High School | Asst. Principal w/possible Athletic Director Duties Substitutes Find Us Little Axe Public Schools 2000 168th Ave NE Norman, OK 73026 Number: Phone: 405-329-7691 Fax: Fax: 405-5…",,"reason students fall behind in high school, leading to a high risk of not graduating on time or dropping out altogether. WHAT YOU CAN DO? • Contact LAHS office and let them know when your student will be absent. (405) 329-1612 or HSattendance@littleaxeps.org • Be sure the parent(…"
Jackson,OK,http://jackson.okcounties.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Okmulgee,OK,http://okmulgeecounty.net/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"Okmulgeecounty.net County Offices Directory County Offices Directory In case of emergency, please dial 911. Search Departments: 911 Address Assignments Call: (918) 759-2235 911 Comm C…"
"Allen Independent School District , Allen",OK,http://www.allenisd.org/,https://www.allenisd.org/page/board-policies-and-procedures,https://www.allenisd.org/page/technology-administration,https://www.allenisd.org/page/technology-administration,,2,0,0,1,0,1,,,ial Services Student Code of Conduct Student Handbook Student Transfers Title IX Student Nutrition Show submenu for Student Nutrition Staff Directory Operations Department Home Page Nutrition Mission Free and Reduced Price Meal Applications Online Menus Online Payments Breakfast …,,g Special Services Student Code of Conduct Student Handbook Student Transfers Title IX Student Nutrition Show submenu for Student Nutrition Staff Directory Operations Department Home Page Nutrition Mission Free and Reduced Price Meal Applications Online Menus Online Payments Brea…
McCurtain,OK,https://mccurtain.okcounties.org/,,,https://mccurtain.okcounties.org/contact,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,Judge District Attorney Departments List all Commissioners' Executive Assistant Election Board Emergency Management Fire Departments About Contact Where do I? FINANCIALS Menu Home Welcome to McCurtain County Calendars Bulletins Job Postings Public Meetings Maps Forms Fees Bids No…
"Arapaho-Butler Public School District , Arapaho",OK,http://www.arapaho.k12.ok.us/,https://www.arapaho.k12.ok.us/bullying-policy,,https://www.arapaho.k12.ok.us/elementaryteacherdirectory,Missing: tech (crawl limited),2,0,0,1,0,1,,,Policy Loading document viewer... Elementary School Elementary School Supply List Student Gradebook Elementary Documents Elementary Teacher Directory Bullying Policy Library Resources Title IX Information Parent Engagement Policy Student Immunizations Child Find Strong Readers Ac…,,"VENTS View the full calendar to see all the exciting events we have happening in the next few weeks and months! View Full Calendar #WeareAB CONTACT US Elementary School P.O. Box 160 • 300 N 12th Arapaho, OK 73620 P: 580.323.7264 • F: 580.323.0179 High School P.O. Box 160 • 214 N …"
"Muskogee Public Schools , Muskogee",OK,http://muskogee.schoolwires.net/muskogee/site/default.asp,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Union Public Schools , Tulsa",OK,http://www.unionps.org/,https://www.unionps.org/about/board-of-education/board-policy-book,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,Communications Logo Policies Contact Us Federal Programs Finance School District Transparency Act Payroll Purchasing Current Opportunities Superintendent Support Services Child Nutrition Construction Services Facilities Operations Projects Transportation Technology Security Suppo…,,dow/tab) LinkedIn (opens in new window/tab) Board of Education Agendas Brochures-Documents Bus Routes Enrollment Employee E-Mail Food Menus Staff Directory Handbooks Extended Day Program Oklahoma Academic Standards Payments Online Phone & Text Messaging Safe Schools Alert SCOIR T…
