district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Mid-Prairie Community School District (also extends into Iowa and Johnson Counties),IA,https://www.mphawks.org/,https://www.mphawks.org/district/about/wellness-policy,,https://www.mphawks.org/district/about/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,t Us Building Statistics Central Administrative Office Annual Report Annual Notices Mission / Vision Equity Statement Wellness Policy Staff Directory District Calendar Community Links Leadership Superintendent School Board Departments Business Office Human Resources School Nutrit…,,t About Us Building Statistics Central Administrative Office Annual Report Annual Notices Mission / Vision Equity Statement Wellness Policy Staff Directory District Calendar Community Links Leadership Superintendent School Board Departments Business Office Human Resources School …
Carroll,IA,http://www.co.carroll.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fremont,IA,http://www.co.fremont.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Janesville Consolidated Community School District (also extends into Black Hawk County),IA,http://www.janesville.k12.ia.us/,http://www.janesville.k12.ia.us/district-policies,,http://www.janesville.k12.ia.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,Janesville CSD Janesville CSD Home District Activities District Reports Employment Handbook Library Policies Staff Directory School Board Staff Infinite Campus Curriculum Calendar 2025-2026 Calendar Activities Calendar Lunch Menu JHS Secondary Bell Schedule Students Weekly Announ…,,Janesville CSD Janesville CSD Home District Activities District Reports Employment Handbook Library Policies Staff Directory School Board Staff Infinite Campus Curriculum Calendar 2025-2026 Calendar Activities Calendar Lunch Menu JHS Secondary Bell Schedule Studen…
Butler,IA,http://www.butlercoiowa.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Brooklyn-Guernsey-Malcom Community School District,IA,http://www.brooklyn.k12.ia.us/,https://www.brooklyn.k12.ia.us/district/board-policies,,https://www.brooklyn.k12.ia.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"e for processing complaints of discrimination. If you have questions or a grievance related to this policy please contact the district’s Equity Coordinator, Brad Hohensee, Superintendent of Schools, BGM School District, 1090 Jackson Street, Brooklyn, IA 52211 or by phoning 641-52…",,Search this site Embedded Files Skip to main content Skip to navigation BGM Community School District Home Students Parents Staff District Staff Directory Documents Annual Progress Report School Board Minutes Board Policies Job Openings Menu Calendars 7-12 Announcements PowerScho…
Hardin,IA,http://www.co.hardin.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Council Bluffs Community School District,IA,https://www.cb-schools.org/,https://www.cb-schools.org/departments/student-health-services/wellness-policy-regulations,,https://www.cb-schools.org/district/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,aining Title IX Regulations: K-12 Decision Makers Title IX Rules: K-12 Supportive Measures and Informal Resolution Title IX Rules: Title IX Coordinators Title IX Overview ESSER Funding Plan Staff Directory Write Touch Spring Virtual Art Show Summer Meals Program Summer Meal Menus…,,Title IX Rules: K-12 Supportive Measures and Informal Resolution Title IX Rules: Title IX Coordinators Title IX Overview ESSER Funding Plan Staff Directory Write Touch Spring Virtual Art Show Summer Meals Program Summer Meal Menus (opens in new window/tab) Public Records Requests…
Ames Community School District,IA,http://www.ames.k12.ia.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wapello,IA,http://www.wapellocounty.org,https://www.wapellocounty.org/board_of_supervisors/,,https://www.wapellocounty.org/contact/,Missing: tech (crawl limited),2,0,0,1,0,1,,,Supervisor RoseMary Miller Conservation Technician John Scott Conservation Technician Emergency Management Department Website Tim Richmond Director GIS Department Website Russ Corder Coordinator 641-683-0017 Judicial Mental Health Advocate Department Website Marquetta Huffman Jud…,,"and Jail Treasurer Veterans Affairs Weed Commissioner About Cemeteries Communities Elected Officials School Districts Township Information Contact Welcome to Wapello County, Iowa Agendas & Minutes Conservation Elections Pay Property Taxes Real Estate Records Renew Vehicle Tags Ne…"
Plymouth,IA,https://www.co.plymouth.ia.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
BCLUW Community School District,IA,https://bcluw-ia.schoolloop.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Marshall,IA,http://www.co.marshall.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Dubuque Community School District,IA,https://www.dbqschools.org/,https://www.dbqschools.org/school-board/policies/,,https://www.dbqschools.org/directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,ments School Calendar Lunch Menu Forms District Email The Hub (staff) Frontline Leave Request (staff) Employee Access (staff) News Calendar Directory Careers Contact Dubuque Community Schools Parents Parents Delays and Cancellations Attendance Awareness Bullying/Harassment Say So…,,dar Lunch Menu Forms District Email The Hub (staff) Frontline Leave Request (staff) Employee Access (staff) News Calendar Directory Careers Contact Dubuque Community Schools Parents Parents Delays and Cancellations Attendance Awareness Bullying/Harassment Say Something Resources …
Osceola,IA,http://osceolacountyia.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Humboldt,IA,http://www.humboldtcountyia.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Winneshiek,IA,https://winneshiekcounty.iowa.gov/,https://winneshiekcounty.iowa.gov/privacy-policy,,https://winneshiekcounty.iowa.gov/directory-of-services,Missing: tech (crawl limited),2,0,0,1,0,1,,,"inneshiek County View Agenda Watch Meetings Calendar Road Closures Facebook Search for Search Toggle navigation MENU MENU About Job Opportunities Directory of Services County Government Tourism Departments & Offices Administration, Business & Finance Auditor Board of Supervisors …",,"neshiek County and how we use it. If you have additional questions or require more information about our Privacy Policy, do not hesitate to contact us. This Privacy Policy applies only to our online activities and is valid for visitors to our website with regards to the informati…"
Sergeant Bluff-Luton Community School District,IA,https://sblschools.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Cherokee,IA,http://www.cherokeecountyiowa.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Western Dubuque Community School District,IA,http://www.w-dubuque.k12.ia.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Poweshiek,IA,http://www.poweshiekcounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jasper,IA,http://www.co.jasper.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Turkey Valley Community School District,IA,http://www.turkeyvalleyschool.com/,,,https://www.turkeyvalleyschool.com/staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"n in Turkey Valley Community School District Staff Search Use the search field above to filter by staff name. Select Departments Erik Smith Superintendent Administration (563)776-6011 ,1661 Send Message to Erik Smith Michelle Hoy Principal Administration (563) 776-6011, 1015 Send…",,"s a grievance procedure for processing complaints of discrimination. If you have any questions or a grievance related to this policy please contact the district’s Equity Coordinator Michelle Hoy, Principal, 3219 Highway 24, Jackson Junction, Iowa 52171; (563) 776-6011 or at mhoy@…"
Allamakee,IA,http://www.co.allamakee.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Clayton,IA,http://www.claytoncountyia.gov,,,http://www.claytoncountyia.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ents Search Your Government County Services Residents How Do I... Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Assessor Attorney Administrative Assistant Auditor Board of Supervisors Clayton County Development Group Clayton County Sheriff's …,,"by CivicPlus® /QuickLinks.aspx Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Clayton County, IA • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save f…"
Benton Community School District,IA,http://www.benton.k12.ia.us/,,,https://www.benton.k12.ia.us/page/food-service-staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,R III Financial Data Handbooks Open Enrollment Publication of Information on School Buildings Quick Links School Board Student Registration Superintendent Transportation Food Service & Nutrition Program Show submenu for Food Service & Nutrition Program Food Service & Nutrition Pr…,,"or processing complaints of discrimination. If you have questions or a grievance related to sex discrimination pursuant to Title IX, please contact Anna Selk, Title IX Coordinator, P.O. Box 70, Van Horne, Iowa 52346; (319) 228-8701; aselk@benton.k12.ia.us or the U.S. Department o…"
Orient-Macksburg Community School District (also extends into Madison County),IA,http://www.orient-macks.k12.ia.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mahaska,IA,http://www.mahaskacounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
H-L-V Community School District (also extends into Poweshiek County),IA,http://www.hlv.k12.ia.us/,https://www.hlv.k12.ia.us/district-info/school-board/board-policies,,https://www.hlv.k12.ia.us/administration,Missing: tech (crawl limited),3,1,0,1,0,1,te Use Violation Notice 605.6R1 Internet-Appropriate Use-Regulation 605.7 Use of Information Resources 605.7R1 Use of Information Resources-Regulation 605.8 Artificial Intelligence in the Educational Environment 605.8R1 Artificial Intelligence in the Educational Environment-Regul…,,nt Health 200 200 Index 200.1 Organization of the Board of Directors 200.1R1 Organizational Meeting Procedures 200.2 Powers of the Board of Directors 200.3 Responsibilities of the Board of Directors 200.4 Board Member Social Media Engagement 201 Board of Directors' Elections 202.…,,6.1E7 Juvenile Justice Agency Information Sharing Agreement 506.1E8 Annual Notice 506.1R1 Education Records Access-Regulation 506.2 Student Directory Information 506.2E1 Student Directory Information-Authorization for Releasing Student Directory Information 506.2R1 Student Direct…
Chariton Community School District,IA,https://www.charitonschools.org/,https://www.charitonschools.org/files/20252026_reimbursable_meal_prices_amp_policy__48764.pdf,,https://www.charitonschools.org/directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,l Hours Middle School High School Silver Cord Award Quick Links Calendar Charger Manufacturing Infinite Campus Registration Resources Staff Directory Successful learning for ALL students. Chariton Community School District Welcome to the Chariton Community School District! The mi…,,Home | Chariton Community School District Calendar Charger Manufacturing Infinite Campus Registration Resources Staff Directory District Building Projects Employment Food Services Health and Wellness Registration Information Special Education Transportation School Bo…
Greene,IA,http://www.co.greene.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Tipton Community School District,IA,http://www.tipton.k12.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"re is a grievance procedure for processing complaints of discrimination. If you have questions or a grievance related to this policy please contact: Dawn Siech, dawn.siech@tipton.k12.ia.us , 563-886-6121, 400 E 6th St, Tipton, IA 52772. Copyright © 2026 Tipton Community School Di…"
Secretary of State,IA,https://sos.iowa.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Van Buren,IA,http://vanburencoia.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Howard,IA,http://www.howard-county.com,,https://www.howard-county.com/resource/itip-iowa-travel-industry-partners,https://www.howard-county.com/contact,Missing: policy (crawl limited),2,0,0,1,0,1,,,"WltYWdlLWNhcHRpb257ZGlzcGxheTp0YWJsZS1jYXB0aW9uO2NhcHRpb24tc2lkZTpib3R0b219IH0g Howard County Business & Tourism Jason Passmore - Executive Director 563.547.3434 101 2nd Ave SW Cresco, Iowa 52136 Connect with Them Howard County Business & Tourism Contact Us First Name * Last Name…",,ng Here Interesting People & Places Residents Employment Rental Properties & More Veterans COVID-19 Info Farmers Markets Resident Resources Contact Us Courtney 2400cook DixBunyDi1k Unsplash Cattle 4103391 Dave Hoefler H8bnRXmN33I Unsplash Dave Hoefler YWcy3iq1HqQ Unsplash T3N3YWx…
United Community School District (of Boone ) (also extends into Story County),IA,https://www.unitedcomets.org/,https://www.unitedcomets.org/district/policies/,,https://www.unitedcomets.org/contact/,Missing: tech (crawl limited),2,0,0,1,0,1,,,ol Report a Threat - Iowa Safe + Sound United PTO Student/Parent Handbook United Foundation Water Bottles and Cups United Spirit Wear Staff Directory Employee Forms Substitute Handbook Teaching & Learning Community Alumni Foundation United PTO 2025-2026 School Registration Presch…,,reschool Report a Threat - Iowa Safe + Sound United PTO Student/Parent Handbook United Foundation Water Bottles and Cups United Spirit Wear Staff Directory Employee Forms Substitute Handbook Teaching & Learning Community Alumni Foundation United PTO 2025-2026 School Registration …
Keokuk,IA,http://www.keokukcountyia.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pleasant Valley Community School District,IA,https://pleasval.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Black Hawk,IA,http://www.co.black-hawk.ia.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Decorah Community School District (also extends into Allamakee County),IA,http://www.decorah.k12.ia.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
