district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Head Start,MA,https://www.acf.hhs.gov/ohs,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Newton Public Schools ( Middlesex County , PK–12)",MA,http://www.newton.k12.ma.us/,https://www.newton.k12.ma.us/school-committee/policies-procedures-protocols,,https://www.newton.k12.ma.us/district-at-a-glance/central-administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,") New IEP Newton YRBS Presentation Preliminary information for ""Getting to Know Me and You"" Elementary Curriculum (opens in new window/tab) Superintendent Title I Lincoln-Eliot School-Family Compact (opens in new window/tab) Bigelow School-Family Compact (opens in new window/tab)…",,Reports Teaching & Learning Curriculum Departments English Language Arts & Literacy English Language Learners Translation & Interpretation Staff Directory Progress Reports Translated Chinese Japanese Korean Portuguese Russian Spanish ELL Teachers Resource Guide (opens in new wind…
"Andover Public Schools ( Essex County , PK–12)",MA,http://aps1.net/421/School-Committee,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Worcester School Department ( Worcester County , PK–12)",MA,http://worcesterschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Belmont Public Schools ( Middlesex County , PK-12)",MA,http://www.belmont.k12.ma.us/,https://www.belmont.k12.ma.us/page/policies-technology,https://www.belmont.k12.ma.us/page/policies-technology,https://www.belmont.k12.ma.us/page/central-officeadministration,,2,0,0,1,0,1,,,"& Payment Contact Us Diversity, Equity, Inclusion, and Well-Being Show submenu for Diversity, Equity, Inclusion, and Well-Being About-DEIW-Director DEIW Vision & Mission DEIW Strategic Initiatives Bias/Bullying Incident Reporting Equity Audit DEIW Resources DEIW News Archive 2024…",,l Committee Policies School Budget Strategic Plan Vision of a Graduate Superintendent's Blog DESE Profile DESE - Report Cards Legal Notices Staff Directory Schools Show submenu for Schools Schools Our Schools Preschool Program School Year Calendars School Offices Departments Show…
American Samoa,MA,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Lexington Public Schools ( Middlesex County , PK–12)",MA,https://lps.lexingtonma.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Braintree Public Schools ( Norfolk County , PK–12)",MA,https://www.braintreeschools.org/,https://www.braintreeschools.org/district/about-us/bps-privacy-policy,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"ollaboration will help ensure our educators and students benefit from the latest research and best practices in early literacy instruction. Superintendent Tim MacDonald noted, ""This grant represents an exciting opportunity for Braintree Public Schools to deepen our commitment to …",,"origin, age, marital status, veteran status, disability, sexual orientation, gender identity, or any other legally protected group. Please contact Nora Vernazza, Assistant Superintendent and Title IX Coordinator nora.vernazza@braintreeschools.org Report abuse Page details Page up…"
Hawaii,MA,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Lynn School Department ( Essex County , PK–12)",MA,http://www.lynnschools.org,,https://www.lynnschools.org/departments/technology,https://www.lynnschools.org/resources/staff_resources,Missing: policy (crawl limited),2,0,0,1,0,1,,,Home - Lynn Public Schools Skip to Content {1} ##LOC[OK]## Language Login Select School Home District Superintendent School Committee School Year Calendar News 2025/2026 School Calendar Snow Information Pickering Middle School Public Forum Education in Lynn is picking u…,,ical Education Community Resources Early College Resources Lynn Community Enrichment Program Safe and Welcoming Schools High School Choices Contact LPS Contact The District Home District Superintendent School Committee School Year Calendar News 2025/2026 School Calendar Snow Info…
