district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Geography,ME,https://www.maine.gov,https://www.maine.gov/portal/policies/index.html,,https://www.maine.gov/portal/contact/contactus.html,Missing: tech (crawl limited),2,0,0,1,0,1,,,"e Desk . Questions or comments related to a specific state agency: Contact that agency directly using the contact information in the Agency Directory . Contact Your Elected Officials Website Feedback Survey To call a specific state agency about a service or program, please visit …",,"overnment Executive Legislative Judicial Cities, Towns & Counties Awards Support Help Ask a Librarian Policies Privacy Policy Accessibility Contact Maine.gov User Survey Sitemap Connect Facebook Twitter RSS Feeds Mobile Connect with Agencies Alerts Citizen Alert System Email/Text…"
Lewiston - Auburn,ME,http://www.ci.lewiston.me.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Yarmouth School Department,ME,http://www.yarmouth.me.us/,https://www.yarmouth.me.us/government/boards_and_committees/index.php,,https://www.yarmouth.me.us/departments/yarmouth_fire_rescue/fire_rescue_staff.php,Missing: tech (crawl limited),2,0,0,1,0,1,,,"enian Somali Spanish Swahili Swedish Tamil Telugu Thai Turkish Ukrainian Urdu Vietnamese Welsh Yiddish Yoruba Zulu Facebook Instagram Phone Directory Search Go Government Boards and Committees Board Application Student Liaison Application Board of Assessment Review Charter, Codes…",,"ed 12-1PM on Monday 2/23 Yarmouth Town Hall will be closed on Monday, February 23rd, between 12:00 and 1:00PM. Thank you for your patience. Contact Us Tax Assessing 27 Northport Drive Portland, ME 04103 207-699-2475 Transfer Station & Recycling 659 East Main Street Yarmouth, ME 0…"
Cumberland,ME,http://www.cumberlandcounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Gorham School Department,ME,http://www.gorhamschools.org/,https://www.gorhamschools.org/o/gsd/page/policy-manual,https://www.gorhamschools.org/page/technology,https://www.gorhamschools.org/staff,,2,0,0,1,0,1,,,Adult Education Athletics Business Office ESEA/Literacy & Math Facilities Health Services Instructional Support Nutrition Special Services Superintendent Office Technology Transportation District Info Gorham's Learning System Show submenu for Gorham's Learning System Our Commitme…,,ool Budget Archive FY26 School Budget Information Federal COVID 19 Related Funds Information Page School Board Subcommittees Strategic Plan Staff Directory Storm Day Information District Info Show submenu for District Info District Info Activities Calendar Bus Routes - Elementary…
American Samoa,ME,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lisbon School Department,ME,http://www.lisbonschoolsme.org/,https://www.lisbonschoolsme.org/central_office/school_committee/policies,,https://www.lisbonschoolsme.org/staff_directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,len Ouellette Director of Operations and Transportation [email protected] Haley McCrater Business Manager [email protected] Allison Leavitt Director of Nutrition [email protected] Louise Levesque Accounts Payable [email protected] Eva Huston HR and Payroll [email protected] Barba…,,STITUTE Van Driver Music Teacher - HIGH SCHOOL Co-Curricular Vacancies Day Treatment SpEd Teacher Ed Tech II - Elementary JV Baseball Coach Staff Directory Lunch Menus Staff Directory Schools Lisbon High School Philip W Sugg Middle School Lisbon Community School Gartley Street Sc…
"Edmunds Consolidated School - Edmunds Township, Washington County",ME,http://washingtoncountymaine.com/,https://washingtoncountymaine.com/policies/bac-contacts/,,https://washingtoncountymaine.com/policies/bac-contacts/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"d Lobster Restaurant, or poisonous snakes. Welcome to Washington County. Unorganized Territory History Available Here ANNOUNCEMENTS Finance Director Position Opening Commissioners Mtg. Executive Session 02-11-2026 Agenda 02-12-2026 Public Hearing UT Proposed Hearing For Replaceme…",,"fficial documents can be obtained by contacting the appropriate county office. Our Location 207-255-3127 85 Court Street, Machias, ME 04654 Contact Us [email protected] Contacts List Office Hours 8AM - 4PM Monday - Friday Except on holidays Washington County Maine © All rights re…"
Hancock,ME,http://www.co.hancock.me.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"School Union 69 – Appleton , Hope , Lincolnville",ME,https://union.fivetowns.net/,https://union.fivetowns.net/school_committees/district_policies,https://union.fivetowns.net/academics/technology_plan,https://union.fivetowns.net/staff_directory,,2,0,0,1,0,1,,,"l of the school board's other policies and regulations. Section B: School Board Governance and Operations contains policies on the Board of Directors - how it is appointed or elected; how it is organized; how it conducts meetings, and how it operates. Section C: General School Ad…",,an School Committees Appleton School Committee Hope School Committee Lincolnville School Committee District Policies Joint School Committee Staff Directory For Parents Superintendent Updates Principal Search School Union 69 Budget Documents Home Calendar District Information Enro…
