district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Los Angeles Unified School District,CA,https://achieve.lausd.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
San Diego Unified School District,CA,https://sandiegounified.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fresno Unified School District,CA,https://www.fresnounified.org/,https://www.fresnounified.org/departments/ama/fusd-accountability-policy,,,Timed out (district budget exceeded),4,1,0,1,1,1,me a Substitute Duty Year Calendars HR FAQs HR Manual Negotiation News Payroll FAQs Staff Directory Salary Schedules Information Technology Acceptable Use Policy Artificial Intelligence (AI) AI Guidance AI Guidebook AI Literacy AI Governance ATLAS Approved Device List (Beta) Educ…,,rt Cards (SARC) i-Ready FUSD Accountability Policy Requests to Conduct Research Board Communication BC's Archived Student Assessments Staff Directory AMA Internal Staff Website Arts Education Athletics Academic Eligibility Guidelines Contacts Mission and Vision Title IX Complianc…,Duty Year Calendars HR FAQs HR Manual Negotiation News Payroll FAQs Staff Directory Salary Schedules Information Technology Acceptable Use Policy Artificial Intelligence (AI) AI Guidance AI Guidebook AI Literacy AI Governance ATLAS Approved Device List (Beta) Educational Technolo…,y Report Cards (SARC) i-Ready FUSD Accountability Policy Requests to Conduct Research Board Communication BC's Archived Student Assessments Staff Directory AMA Internal Staff Website Arts Education Athletics Academic Eligibility Guidelines Contacts Mission and Vision Title IX Com…
Elk Grove Unified School District,CA,https://www.egusd.net/,https://www.egusd.net/District/About-EGUSD/Board-of-Education/,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,ol-Connected Organizations Translation Services Volunteering/Fingerprinting Job/Career Opportunities Synergy About EGUSD Board of Education Superintendent Community Departments Accounting Adult and Community Education Athletics/Facilities Use Behavioral Health and Counseling Serv…,,"one or more of these actual or perceived characteristics. For questions or complaints concerning student against student incidents, please contact: Jenifer Avey, Assistant Superintendent, Elementary Education/Title IX Coordinator - 9510 Elk Grove Florin Road, Elk Grove, CA 95624,…"
Long Beach Unified School District,CA,https://www.lbschools.net/,https://www.lbschools.net/about/cellphone-policy/home,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,Administrative Assignments ☍ (opens in new window/tab) LBUSD Community Visioning District Area Map Superintendent Superintendent of Schools Superintendent's Goals Superintendent's Student Advisory Committee Learning Acceleration & Support Plan Annual Reports Deputy Superintendent…,,"nd removing barriers to student success in a school system that is equitable, affirming, and forward thinking. Learn more about Vision 2035 Contact Us 1515 Hughes Way Long Beach CA 90810 Map / Directions (562) 997-8000 Student Support Social & Emotional Support Say Something, Rep…"
San Francisco Unified School District,CA,https://www.sfusd.edu/,https://www.sfusd.edu/services/family-supports-services/immigration-policy-resources,,https://www.sfusd.edu/about-sfusd/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Transitional Kindergarten Announcements Link to this section Welcome Back to School Originally posted on Feb. 18: As SFUSD schools reopen, Superintendent Dr. Maria Su shares a message of unity, healing, and collaboration in support of students. Posted on February 19, 2026 SF Boar…",,ing employees Budget & LCAP Learn how budgets and the Local Control and Accountability Plan are created News Read about what's new at SFUSD Contact Us Find out how to submit a records request or contact departments and schools Schools Enroll in Early Education Learn when and how …
San Juan Unified School District,CA,https://www.sanjuan.edu/,https://www.sanjuan.edu/our-district/policies-required-notices,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,d Introducing Our Board Board Meeting Dates Board Agendas and Minutes Public Participation Board Policies Governance Handbook Trustee Areas Superintendent Superintendent's Parent Advisory Committee (SPAC) Superintendent's Cabinet Superintendent's Student Advisory Council (SSAC) E…,,Association (SJTA) Teamsters San Juan Teacher Residency Substitutes and Guest Teachers Certificated Classified Connect Contact Information Staff Directory Communication Tools Mass Notification System Mobile App Privacy Policy San Juan Scene Newsletter Share Your News Social Media…
Corona-Norco Unified School District,CA,https://www.cnusd.k12.ca.us/,https://www.cnusd.k12.ca.us/about_us/board_of_education/board_policy,,https://www.cnusd.k12.ca.us/about_us/school_directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,K]## Home About Us Our District Board of Education Board Agendas Board Policy Board Meeting Videos Trustee Area Map Meeting Code of Conduct Superintendent Search Superintendent's Office Commitment to Diversity & Equity District Office Employees of the Quarter Executive Cabinet St…,,Strategic Plan District Map Enrollment & Registration LCAP Military Recognition Program School Calendars & Bell Schedules School Directory Staff Directory Student Programs After School Programs Career Technical Education College Credit Opportunities Dual Enrollment Dual Language …
San Bernardino City Unified School District,CA,https://www.sbcusd.com/,https://www.sbcusd.com/departments/educational-services-division/accountability-educational-technology/technology-policies-and-guidelines,https://www.sbcusd.com/departments/educational-services-division/accountability-educational-technology/technology-policies-and-guidelines,https://www.sbcusd.com/departments/business-services-division/information-technology/staff-listing,,2,0,0,1,0,1,,,ars Training Registration Quick Reference Guides Training Videos Google Workspace Support Applications Client Services Infrastructure Staff Directory Nutrition Services (opens in new window/tab) Payroll Important Phone Numbers Assigned Payroll Technicians Purchasing Bids and Requ…,,Calendars Training Registration Quick Reference Guides Training Videos Google Workspace Support Applications Client Services Infrastructure Staff Directory Nutrition Services (opens in new window/tab) Payroll Important Phone Numbers Assigned Payroll Technicians Purchasing Bids an…
Capistrano Unified School District,CA,https://www.capousd.org/,https://www.capousd.org/District/Board/Board-Policies/Article-2-Administration/index.html,,https://www.capousd.org/District/Board/Board-Policies/Article-2-Administration/index.html,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,dars District Communications Budget & LCAP LCAP Documents & Goals LCAP Questions and Answers Funding Overview Non-Discrimination Complaints Contact Us Title IX Board Board Members Meet Our Board Members Invite Us Trustee Compensation Board Meetings Board Meetings Overview 2025-26…
Oakland Unified School District,CA,https://www.ousd.org/,https://www.ousd.org/board-of-ed/contact-boe-staff,,https://www.ousd.org/board-of-ed/contact-boe-staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,Home - Oakland Unified School District Skip To Main Content Close Menu Search Clear Search About Us Meet Our Employees Meet Our Superintendent Honoring Our Own Employee Recognition District Calendar OUSD Fast Facts (opens in new window/tab) Local Control and Accountability Plan (…,,ocuments for Enrollment Preschool Eligibility and Enrollment Kindergarten Readiness Programs Family Resources Educator Resources Who We Are Contact ECE Schools & Office Grade Eligibility Calculator TK - 12 Transitional Kindergarten Hub Transitional Kindergarten (TK) Programs Enro…
Clovis Unified School District,CA,https://www.cusd.com/,https://www.cusd.com/cusd-policies,,https://www.cusd.com/department-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Board Board Agendas, Meetings & Archives Board Policies Jobs at CUSD Contact Us Contact Us Staff Directory/Organizational Chart Department Directory Maps Policies PARENTS My Student Community Eligibility Provision Bus Information Campus Catering Community Advisory Committee (CAC)…",,"rs 2025-26 School Year Governing Board About the Board Board Agendas, Meetings & Archives Board Policies Jobs at CUSD Contact Us Contact Us Staff Directory/Organizational Chart Department Directory Maps Policies PARENTS My Student Community Eligibility Provision Bus Information C…"
Twin Rivers Unified School District,CA,https://www.trusd.net/,https://www.trusd.net/Our-District/Board/Board-Policies/index.html,,https://www.trusd.net/Staff-Room-Login/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"istrict Superintendent's Office Superintendent Organization Structure About Us 2024-25 Districtwide School Boundaries State of the District Contact Us District Goals District Map Mission, Vision and Core Beliefs Our Schools Points of Pride Board Adjustment of Trustee Boundary Are…"
Kern High School District,CA,https://www.kernhigh.org/,,,https://www.kernhigh.org/apps/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Kern High School District Skip to main content Kern High School District Main Menu Toggle About About Us Office of the Superintendent Public Information Office Local Control Accountability Plan School Accountability Report Cards Contact Us Board KHSD Trustees KHSD Trustee Areas B…,,"hone: (661) 827-3100 Footer Links About Us News Prepared to Succeed Nondiscrimination Policies (Title IX/Sexual Harassment) 504 Coordinator Staff Directory Footer Statement The Kern High School District (KHSD) is committed to ensuring equal, fair, and meaningful access to employm…"
Sacramento City Unified School District,CA,https://www.scusd.edu/,https://www.scusd.edu/about/our-policies,,https://www.scusd.edu/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ignation of Superintendent Lisa Allen 2 . 5 . 2026 Learn More about PRESS RELEASE: SCUSD Board of Education Statement on the Resignation of Superintendent Lisa Allen Sac City Scroll: February 5, 2026 2 . 5 . 2026 Learn More about Sac City Scroll: February 5, 2026 Feb 19 Board of …",,ting Students Important Information about Diabetes and Your Student Mental Health Student Support Centers Student Support & Health Services Staff Directory Special Education Child Find Special Education Family Handbook Staff Directory Student Records SELPA About Parent Resources …
Santa Ana Unified School District,CA,https://www.sausd.us/,https://www.sausd.us/non-discrimination-statement-and-policy,,https://www.sausd.us/community/community-schools/strategic-initiative-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,panded Learning Programs Early Education Programs Schools Elementary Intermediate High School Educational Options and Programs Social Media Directory School Accountability Report Cards (SARC) School Board Meet the Board Meetings & Minutes Meeting Videos-Livestream Administrative …,,k (opens in new window/tab) Twitter (opens in new window/tab) YouTube (opens in new window/tab) Instagram Santa Ana Unified School District Contact Us 714.558.5501 1601 East Chestnut Avenue Santa Ana CA 92701-6322 714.558.5610 Facebook (opens in new window/tab) Twitter (opens in …
Riverside Unified School District,CA,https://www.riversideunified.org/,https://www.riversideunified.org/our-district/title-ix/policies-procedures-title-ix,,,Timed out (district budget exceeded),2,0,0,1,0,1,,,to Official Social Media Accounts RUSD News Safety & Security FAQs Raptor Visitor Management System Staff Directory Superintendent's Office Superintendent Llamas From Listening to Alignment: The First 100 Days Title IX Incident Report Form (opens in new window/tab) Policies & Pro…,,st Of All Schools Mission Values and Motto Official Social Media Accounts RUSD News Safety & Security FAQs Raptor Visitor Management System Staff Directory Superintendent's Office Superintendent Llamas From Listening to Alignment: The First 100 Days Title IX Incident Report Form …
Chula Vista Elementary School District,CA,https://www.cvesd.org/,https://www.cvesd.org/district/board-of-education/board-policies-and-bylaws,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,tion Form News What's New Calendar Upcoming Opportunities School Calendars Events Schools MySchool Locator (opens in new window/tab) School Directory School Accountability Report Card Independent Study Program (ISP) Parents Annual Notifications ESignature Disclosure Pest Manageme…,,mmunity Ceremonial Flag Display Chula Vista Community Collaborative Community Partners Family Resource Centers Community Schools Harassment Contact Us Accessibility Visit Us Sitemap Department Directory District Home Students Parents Staff Intranet Portal (opens in new window/tab…
Anaheim Union High School District,CA,https://www.auhsd.us/,https://www.auhsd.us/District/Department/14174-BOARD/80154-Board-Policies.html,https://www.auhsd.us//files/user/1/file/Technology-Agreement-2026-2027-All-Languages.pdf,https://www.auhsd.us//files/user/1/file/2025-26-District-Campus-&-Site-Directory-02.05.2026.pdf,,2,0,0,1,0,1,,,Alternative Education AUHSD Independent Studies Gilbert High School How To Find My School Resources & Bylaws District Campus & School Site Directory School Accountability Report Cards Schools’ Boundaries Social Media District Departments Board of Trustees Business Services Educat…,,ite Directory Education Protection Account Proposed Adopted Budget School Accountability Report Cards Board Board Members Board of Trustees Contact the Board Board Meetings Board Meeting Agendas & Minutes Board Policies Board Policies & Administrative Procedures Resources Board R…
San Jose Unified School District,CA,https://www.sjusd.org/,https://www.sjusd.org/about/policies-regulations,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"r who wish to file a complaint, should contact the following persons: For Title IX, discrimination or equity complaints involving students: Director of Student Services/Student Title IX Coordinator, Michelle Reghitto, 408-535-6080 , uniformcomplaint@sjusd.org , 855 Lenzen Avenue,…",,Join Our Team Resources In This Section Home Home pause slideshow play slideshow < > Image There are no resources or collections to display Contact Us (opens in new window/tab) Schools of Tomorrow Parent Portal Menus Calendar Community Rights LCAP UPCOMING EVENTS < February 2026 …
