district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Chicago Public Schools (SD 299),IL,https://www.cps.edu/,https://www.cps.edu/services-and-supports/special-education/cps-policies-and-procedures/,,https://www.cps.edu/staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"n Act (SOPPA) Equity in Athletics Physical Restraint / Time Out Resources Office of Student Protections & Title IX Elizabeth Mendoza Browne Chief Title IX Officer CPS Title IX Coordinator 773-535-4400 osp@cps.edu 110 N. Paulina St. Chicago, IL 60612 Main Home / About CPS / Polici…",,"oter CHICAGO PUBLIC SCHOOLS 42 W. Madison Street Chicago, IL 60602 773-553-1000 © 2026 Chicago Public Schools | 1.0.9539 | KU Helpful Links Contact CPS Department Directory Networks Leadership Team Non-Discrimination Statement What's New Support CPS Press Releases Media Careers P…"
U-46 School District (Elgin Area),IL,https://www.u-46.org/,https://www.u-46.org/privacy-policy,,https://www.u-46.org/our-district/departments-programs/observatory-planetarium/contact-information,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,g Snapshots • 5Essentials Survey Home • Illinois State Report Card CAREERS DEPARTMENTS & PROGRAMS Observatory/ Planetarium Planetarium Home Contact Information Planetarium History Scout or Class Reservations Program Information Public Sky Shows Online Resources Preschool (opens i…
DuPage High School District 88,IL,https://www.dupage88.net/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,egment Get to know Addison Trail Get to know Willowbrook District 88 boundary information District and school report cards Employment Staff Directory Transparency Accessibility Calendars District Calendars Addison Trail Calendar Willowbrook Calendar Departments Administration Bil…,,ideo segment Get to know Addison Trail Get to know Willowbrook District 88 boundary information District and school report cards Employment Staff Directory Transparency Accessibility Calendars District Calendars Addison Trail Calendar Willowbrook Calendar Departments Administrati…
Indian Prairie School District 204,IL,https://www.ipsd.org/,https://www.ipsd.org/resources/legal/website-privacy-policy,https://www.ipsd.org/departments/technology-services/tech-services-staff,https://www.ipsd.org/departments/technology-services/tech-services-staff,,2,0,0,1,0,1,,,"y Home App for Families Student Services Health Services Tech Services Staff Click on the '+' above to view other pages Name Title Building CHIEF TECHNOLOGY OFFICER & TECHNOLOGY DIRECTORS Mack, Rodney Chief Technology Officer CEC Gray, William Director of Technology Security Infr…",,tal Learning Resources Online Textbooks 1:1 Chromebook Info e-Learning Days Departments Superintendent Administration Food Services Whom to Contact Menus (External Link) (opens in new window/tab) Free or Reduced-Price Meal Information Prices & Payment Student Meal Prices Student …
Naperville Community Unit School District 203,IL,https://www.naperville203.org/,https://www.naperville203.org/board-of-education,https://www.naperville203.org/departments-services/information-technology/applications-data-management/staff-applications,https://www.naperville203.org/departments-services/information-technology/applications-data-management/staff-applications,,2,0,0,1,0,1,,,"ve deep into artificial intelligence, screen time and digital safety. Matt Langes, Director of Innovation & Learning, and Dr. Noor Shammas, Coordinator of Instructional Technology, will host the community sessions 4th Annual Career Motive-8 Delivers Unforgettable Day of Hands-On …",,") Freedom of Information Act (FOIA) Bids and Proposals (opens in new window/tab) District Calendars (opens in new window/tab) District Maps Staff Directory (opens in new window/tab) Vision, Mission and Beliefs (opens in new window/tab) District Fast Facts Report to the Community …"
Community Consolidated School District 15 (Palatine),IL,https://www.ccsd15.net/,https://www.ccsd15.net/our-district/boe,,https://www.ccsd15.net/our-district/contact-d15,Missing: tech (crawl limited),2,0,0,1,0,1,,,eport Nav Bullying/Safety Tip Line Distrct Preloader DISTRICT 15 NEWS PROUD TO BE 15 D15 Board of Education Appoints Dr. Dana Smith as Next Superintendent Feb 10 2026 The Board of Education of Community Consolidated School District 15 has appointed Dr. Dana Smith as the district’…,,"As a public institution, District 15 is subject to the Illinois FOIA. See the Freedom of Information Act (FOIA) page for more information. Staff Directory (Search) Keyword First Name Last Name Location All Locations Carl Sandburg Middle School Central Road Elementary School Distr…"
Township High School District 214,IL,https://www.d214.org/,https://www.d214.org/page/board-of-education,,https://www.d214.org/o/d214/page/staff-portal,Missing: tech (crawl limited),2,0,0,1,0,1,,,ion Members Board Member Training Mission and Parameters Meeting Dates Agendas & Minutes Election Information Policies Public Comment Community Education District Departments Education Foundation Staff Directory Strategic Plan Academics Show submenu for Academics Academics Academ…,,Meeting Dates Agendas & Minutes Election Information Policies Public Comment Community Education District Departments Education Foundation Staff Directory Strategic Plan Academics Show submenu for Academics Academics Academic Programs and Pathways Guidebook Assessments Registrati…
Plainfield School District 202,IL,https://www.psd202.org/,https://www.psd202.org/page/board-of-education,,https://www.psd202.org/page/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,Homecoming School Polling Places District 202 Facility Usage Foundation for Excellence DEPARTMENTS Show submenu for DEPARTMENTS DEPARTMENTS Superintendent Administration and Personnel Business & Operations Community Relations Curriculum & Instruction Student Services Health Servi…,,ABOUT US Show submenu for ABOUT US ABOUT US D202 At a Glance District Planning and Progress Administration Show submenu for Administration Staff Directory District Map Interactive District map District Report Card School Safety Transparency Show submenu for Transparency Freedom o…
Rockford Public Schools (SD 205),IL,https://www.rps205.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Schaumburg School District 54,IL,https://sd54.org/,https://sd54.org/board/,https://sd54.org/technology/,https://sd54.org/staff/,,2,0,0,1,0,1,,,EO Contract Substitutes Web Mail Departments Business Operations Community Relations Human Resources Multilingual Programs Special Services Superintendent’s Office Teaching and Learning Technology Transportation Contact Us Bullying and Safety Reporting Complaint Procedures Contac…,,tion District Policies Freedom of Information Act Illinois School Report Card Mission Overview of District 54 Run to Read School Boundaries Staff Directory Families & Students Attendance/Hours Assistance and Support Child Care Curriculum Equity and Inclusion Food Pantry Foundatio…
Valley View School District 365U,IL,https://www.valleyviewsd365u.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Joliet Public Schools District 86,IL,https://www.joliet86.org/,https://www.joliet86.org/o/jps/page/school-board,,https://www.joliet86.org/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,ools District 86 website. Please explore the website for a variety of information and connect with us on social media. End of Gallery Staff Directory Documents School Board E-LEARNING ROOMS Dining Community Events Superintendent's welcome Welcome to Joliet Public Schools District…,,ic Schools District 86 website. Please explore the website for a variety of information and connect with us on social media. End of Gallery Staff Directory Documents School Board E-LEARNING ROOMS Dining Community Events Superintendent's welcome Welcome to Joliet Public Schools Di…
Peoria Public Schools District 150,IL,https://www.peoria150.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Springfield School District 186,IL,https://www.sps186.org/,https://www.sps186.org/o/sps/page/board-of-education,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,ring October through January to facilitate planning of the group’s Unity Day event. The Student Board Representative works closely with the Superintendent and her staff to facilitate the Roundtable's meetings and activities. The Student Board Representative will be given time on …,,"e District's administrative office located at 3063 Fiat Avenue. For additional information or to set an appointment to view the map, please contact Julie Hammers at 217/525-4406, jhammers@sps186.org. Student Board of Education Member Application Information Sample Application The…"
Aurora Public Schools District 131,IL,https://www.d131.org/,https://www.d131.org/board-of-education/,,https://www.d131.org/staff-logins/,Missing: tech (crawl limited),2,0,0,1,0,1,,,rvice Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Enviar 2025-2026 School Year 2025-2026 Año Escolar About Nuestro Distrito Parents Padres Students Estudiantes…,,s Students Estudiantes Search Site Sitio de Búsqueda Submit Enviar News Noticias Register Inscripciones Service Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Env…
East Aurora School District 131,IL,https://www.d131.org/,https://www.d131.org/board-of-education/,,https://www.d131.org/staff-logins/,Missing: tech (crawl limited),2,0,0,1,0,1,,,rvice Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Enviar 2025-2026 School Year 2025-2026 Año Escolar About Nuestro Distrito Parents Padres Students Estudiantes…,,s Students Estudiantes Search Site Sitio de Búsqueda Submit Enviar News Noticias Register Inscripciones Service Centers Centros de Servicio Staff Directory Directorio del personal Calendar Calendario Human Resources Recursos Humanos Search Staff Directorio del personal Submit Env…
Oswego Community Unit School District 308,IL,https://www.sd308.org/,https://www.sd308.org/Our-District/Disclosures/Policies/index.html,,https://www.sd308.org/Staff-Directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"atically retrieve data or other content from the Site to create or compile, directly or indirectly, a collection, compilation, database, or directory without written permission from us. 2. Make any unauthorized use of the Site, including collecting usernames and/or email addresse…",,"or or staff member for your child’s school, please access the school website, contact information can also be found using our district wide staff directory. Need assistance? If you are not sure who to contact, just use this link and your question will be directed to the most appr…"
Waukegan Community Unit School District 60,IL,https://www.wps60.org/,https://www.wps60.org/parents_students/promotion_retention_policy_manual,,https://www.wps60.org/our_district/staff_directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,ent at Home Guides Communications F.A.C.E Newsletter F.A.C.E. F.A.C.E Events Calendar Family Involvement Volunteer Application OSAA Liaison Directory Volunteer Opportunities Waukegan Alumni Alumni Transcript Requests Community Committees PTAC - Parent / Teacher Advisory Committee…,,} ##LOC[OK]## Menu Our District About Our District About Our District District Events District Map District News Frequently Asked Questions Staff Directory Waukegan Schools Foundation Welcome Center Leadership Office of the Superintendent Area Superintendents Negotiated Contracts…
