district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Richmond Public Schools,VA,https://www.rvaschools.net/,https://www.rvaschools.net/privacy-policy,https://www.rvaschools.net/staff-portal/technology-services,https://www.rvaschools.net/staff-portal/technology-services,,2,0,0,1,0,1,,,demic Resources (Login Required) Bullying Prevention Toolkit Join Our Team Licensure Organizational Charts RVA Men Teach Staff Portal Staff Directory Staff Technology Resources & Support Teacher Advisory Council Teacher Discounts Leadership Richmond City School Board School Board…,,ff Academic Resources (Login Required) Bullying Prevention Toolkit Join Our Team Licensure Organizational Charts RVA Men Teach Staff Portal Staff Directory Staff Technology Resources & Support Teacher Advisory Council Teacher Discounts Leadership Richmond City School Board School…
Richmond County Public Schools,VA,https://www.richmond-county.k12.va.us,https://www.richmond-county.k12.va.us/privacy-policy,,https://www.richmond-county.k12.va.us/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"rd Office Staff Directory Bernard S. ""Trey"" Davis III, Ed.D. Superintendent of Schools bdavis@richmond-county.k12.va.us Jason Strong, Ed.D. Assistant Superintendent jstrong@richmond-county.k12.va.us Whitney Barrack Director of Finance wbarrack@richmond-county.k12.va.us Renee Edwa…",,chmond County School Board Skip To Main Content Close Menu Search Clear Search About Us Superintendent Professional Profile Strategic Plans Staff Directory Forms Departments Instruction and Federal Programs Instructional Support Title 1 Gifted Education Gifted After-School Progra…
Colonial Heights Public Schools,VA,http://www.colonialheightsva.gov/,,,http://www.colonialheightsva.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Colonial Heights 201 James Avenue | P.O. Box 3401 | Colonial Heights, VA 23834 Phone: (804) 520-9266 | Hours: 8:30 AM - 5:00 PM View Staff Directory Home Site Map Accessibility Copyright Notices /QuickLinks.aspx Facebook Animal Shelter Colonial Heights Economic Development Fire &…",,"ity of Colonial Heights 201 James Avenue | P.O. Box 3401 | Colonial Heights, VA 23834 Phone: (804) 520-9266 | Hours: 8:30 AM - 5:00 PM View Staff Directory Home Site Map Accessibility Copyright Notices /QuickLinks.aspx Facebook Animal Shelter Colonial Heights Economic Development…"
Roanoke City Public Schools,VA,https://roanokeva.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Chesterfield County Public Schools,VA,https://www.oneccps.org/,https://www.oneccps.org/page/school-board,https://www.oneccps.org/page/technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,Chesterfield County Public Schools | Home Skip to content School Board Superintendent Connect Careers Search site Chesterfield County Public Schools - School Board Superintendent Connect Careers Search site Explore Explore Schools Translate Sign in Exp…,,ll be reported by Gaggle to school administrators and the National Center for Missing and Exploited Children. The school division will also contact the school SRO for investigation. Alerts about threats of violence against others also will be shared with the appropriate Guideline…
Alleghany County Public Schools,VA,http://www.alleghany.k12.va.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northampton County Public Schools,VA,https://www.ncpsk12.com/,,https://www.ncpsk12.com/page/center-career-technology,,"Missing: policy, contact (crawl limited)",2,0,0,1,0,1,,,ty Public Schools Code of Conduct (Espanol) Northampton High School Student Handbook Guidance Information Student Resource Links Clinic Website Staff Directory Please join NCPS on Social Media! Facebook Please join NCPS on Social Media! Twitter Our Beliefs: Providing sound learni…,,"re (even the lunch menu)! Principal: Mr. Gary Clark Assistant Principal: Mr. William Coleman-Pender Assistant Principal: Ms. Lydia Rosa NHS Staff Directory Address: 16041 Courthouse Rd., Eastville, VA 23347 School Office Hours: 7:15-4:00 Student Hours: 7:40-2:45 School Phone: (75…"
Virginia Beach City Public Schools,VA,http://www.vbschools.com/,,https://www.vbschools.com/departments/department-of-technology,https://www.vbschools.com/about/contact,Missing: policy (crawl limited),3,1,0,1,0,1,new window/tab) Technical & Career Education Center (opens in new window/tab) Curriculum (opens in new window/tab) Digital Literacy AI Use: Policies and Guidance FAQs How AI Will Be Used in Schools Our Guardrails Resources for Families and Staff What is Artificial Intelligence? D…,,ment of School Division Services Department of School Leadership Department of Teaching and Learning Department of Technology Office of the Chief of Staff Office for Opportunity and Achievement Careers Benefits & Wellness Current Employees FAQ's Job Titles/Descriptions Quick Glan…,,Home - Virginia Beach City Public Schools Skip To Main Content About Us Calendar Contact Us VBCPS Data Dashboard (opens in new window/tab) Leadership Newsroom Our Strategic Plan School Board School Data and Research School Hours…
Manassas Park City Schools,VA,https://www.mpark.net/,https://www.mpark.net/about_mpcs/notifications/division_policies,https://www.mpark.net/about_mpcs/notifications/technology_use_guidelines,https://www.mpark.net/resources/for_staff,,2,0,0,1,0,1,,,"r inappropriate use of school division technology resources to the building or department administrator who will report the incident to the Director of Information Technology. 7.3 Staff will promptly submit problems related to technology use including hardware, software, email, n…",,ss under specific guidance from an MPCS instructional staff member. 9.3 Staff Email addresses may be published in the MPCS web page address directory. 9.4 The MPCS global address book is intended for school business purposes only. The use of school and division level “ALL” distri…
Arlington County Public Schools,VA,https://www.apsva.us/,https://www.apsva.us/homebound-instruction/policy/,,https://www.apsva.us/contact-aps/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"sory Council on School Facilities and Capital Programs Arlington Partnership for Children, Youth & Families (APCYF) Budget Advisory Council Superintendent’s Advisory Committee on Immigrant and Refugee Student Concerns Joint Facilities Advisory Commission School Health Advisory Bo…",,"de Question or Concern Contact the Engage with APS community engagement team Contact the Superintendent Contact the School Board Search our Staff Directory Call APS at 703-228-8000 (transportation services, registration, extended day, food services, tech support, general question…"
