district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Clearwater,ID,http://www.clearwatercounty.org/,,,http://www.clearwatercounty.org/i_want_to/contact/index.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,persons in the district. Ambulance District Board Vince Frazier Ken Harvey Mitch Reggear Ambulance Response Area Map About This Department Director: Darren Smith Email: dsmith@clearwatercounty.org Deputy Director: Sharon Barcus Email: sgbarcus@clearwatercounty.org Address: 1195 R…,,"Welcome to Clearwater County, ID Skip to main content I Want To Apply For Contact Find Pay Visit Renew Volunteer Departments Ambulance Assessor Auditor / Clerk / Recorder / Elections Building & Planning Commissioners Coro…"
Shoshone,ID,https://shoshonecounty.id.gov/,,,https://shoshonecounty.id.gov/directory/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,nager Phone: (208) 512-4260 Email Randy Assessor View Department Jerry White County Assessor Phone: (208) 752-1202 Email Jerry Katie Murray Chief Deputy Assessor Phone: (208)752-1202 Email Katie Auditing Phone: (208) 752-1264 View Department Lori Osterberg County Clerk Email Lori…,,"s used to determine the amount of property taxes due later in the year. Property owners should review the assessment notices carefully, and contact the Assessor’s Office if they have any questions. Market value reviews are heard by the assessor’s office staff through the fourth M…"
Fremont,ID,http://www.co.fremont.id.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Gooding,ID,http://www.goodingcounty.org,,,http://www.goodingcounty.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ebsite Sign In Search Government Departments Services How Do I... Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Assessor's Office Building Department Clerk, Auditor & Recorder Coroner's Office Patrick J. Curtis County Commissioners County Ser…",,"by CivicPlus® /QuickLinks.aspx Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Gooding County, ID • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save f…"
Kootenai,ID,http://kcgov.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Valley,ID,http://www.co.valley.id.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"Property Clerk, Recorder, Auditor Sheriff Courts Road & Bridge Popular Links News Events & Meetings Latest County News Meetings and Events Contact Info Valley County, Idaho 219 N. Main Street PO Box 1350 Cascade, ID 83611 Resources Website By EvoGov…"
Blaine County School District #61,ID,https://www.blaineschools.org/,https://www.blaineschools.org/our-district/wellness-policy-progress-reports,https://www.blaineschools.org/our-district/staff-directory/technology,https://www.blaineschools.org/our-district/staff-directory/technology,,2,0,0,1,0,1,,,District Policies (opens in new window/tab) Job Openings Our Community Public Record Requests Quick Facts School Closure Information Staff Directory State of Idaho School Report Card Title IX Compliance Wellness Policy Progress Reports Why Choose BCSD? Teaching and Learning BCSD …,,dow/tab) Public Record Requests Request Public Records Quick Facts Quick Facts Transparency to Community Members School Closure Information Staff Directory Alturas Elementary Bellevue Elementary Buildings and Locations Carey School Community Campus District Office District Suppor…
Jerome,ID,http://www.jeromecountyid.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hawaii,ID,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Government,ID,https://www.idaho.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Weiser School District#431,ID,http://www.weiserschools.org,https://www.weiserschools.org/privacy-policy,,https://www.weiserschools.org/about/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,nt Close Menu Search Clear Search About Continuous Improvement Plan ESSER III Plan Facilities Proposal Request Public Records Request Staff Directory State School Report Card Strategic Plan Title IX WSD Mobile App Board of Trustees Board Minutes & Agendas Board Vacancy Informatio…,,Content Close Menu Search Clear Search About Continuous Improvement Plan ESSER III Plan Facilities Proposal Request Public Records Request Staff Directory State School Report Card Strategic Plan Title IX WSD Mobile App Board of Trustees Board Minutes & Agendas Board Vacancy Infor…
Caribou,ID,https://www.cariboucounty.us/,,,https://www.cariboucounty.us/how_do_i_(faq)/contact.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"are a homeowner, contractor, realtor, appraiser, or developer, we serve all of the residents of Caribou County by managing its growth in a responsible and sustainable way. Our department is made up of two divisions: Building and Planning & Zoning. Our Building Division receives a…",,odeo Caribou County Recreational Map Parks & Recreation Photo Gallery How Do I?(FAQ) Apply For Passport Marriage License Voter Registration Contact Download/View Ordinances Meeting Minutes Archive Resolutions Find Resident Services Senior Center State Organizations Pay Pay Proper…
Payette,ID,http://www.payettecounty.org,,,http://www.payettecounty.org/contacts?lastletter=All,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ge Weed and Gopher Emergency Management Other Resources Advisory Board Board of Community Guardians Agenda Clay Peak Recreation County Code Directory Forms Mosquito Abatement Public Notices RFP / RFQ I want to... Employment Weblinks Calendar Home Elected Officials Assessors E-Sta…,,"Home Welcome to Payette County, where life is simply better E-mail | Employee Login Payette County Contact Us Click here for available contacts Courthouse Hours 9am - 5pm / Mon - Fri Payette County Idaho TPL_SIDE_BAR × Meet the Staff The Jacobsen…"
Lincoln,ID,http://www.lincolncountyid.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Moscow School District#281,ID,http://msdweb.msd281.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bonner,ID,http://www.co.bonner.id.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Custer,ID,http://www.co.custer.id.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jefferson,ID,http://www.co.jefferson.id.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Nampa School District#131,ID,https://www.nsd131.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,Vento/Homeless Supports Migrant Education Program Title 1-A: Improving Basic Programs Foster Care Family Community Resource Centers Finance Assistant Superintendent of Operations Communications & Community Relations Information Services Nutrition Services Facilities Transportatio…,,"s. Mountain SD is committed to continuing its leadership in sustainability and inspiring other school districts to adopt similar practices. Contact Us! Contact us! Nampa PREP Program 203 Lake Lowell Ave. Nampa, Idaho 83686 Phone: 208.498.0554 Program Director: Mrs. Jennifer Rando…"
Aberdeen School District #58,ID,http://www.aberdeen58.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,d Students PowerSchool For Teachers Parents Grants Parents Involvement School-Parent Compact Survey Input Calendars Food Services Athletics Contact Employment News News News Archive Search for: Search Button Scroll down to content Aberdeen School District #58 Welcome to the Aberd…
Gooding Joint School District#231,ID,https://gsd231.org/,https://gsd231.org/district-policies/,https://gsd231.org/technology/,https://gsd231.org/contact/,,2,0,0,1,0,1,,,ower Login Gmail PowerSchool for Substitutes PowerTeacher Login Red Rover Login SafeSchools Login Skyward Login Submit Tech/Maintenance/Website Request Contact District Office/Schools Staff Directory Search Search Search JOBS Transparent Idaho District Schools Departments Parents…,,PowerTeacher Login Red Rover Login SafeSchools Login Skyward Login Submit Tech/Maintenance/Website Request Contact District Office/Schools Staff Directory Search Search Search JOBS Transparent Idaho District Schools Departments Parents/Students Resources Employees Staff Directory…
Minidoka,ID,http://www.minidoka.id.us,,,https://www.minidoka.id.us/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Website Sign In Legal Notices/Publications Government Services Residents How Do I... Search Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Administration-Website Animal Control Shelter Assessor Motor Vehicle Department Property Department Auto…,,"ebook Twitter LinkedIn Youtube Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Minidoka County, ID • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save …"
Elmore,ID,http://elmorecounty.org,,,https://elmorecounty.org/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"essments, such as irrigation taxes. If the total property tax bill exceeds the maximum benefit amount (for example, $600), the applicant is responsible for paying the remaining balance after the Property Tax Reduction credit has been applied, in accordance with Idaho Code § 63-70…",,ic Records Sheriff Records Request County Clerk Request Land Use & Building Request Prosecuting Attorney Request Renew my Registration Vote Contact the County PUBLIC NOTICES Commissioner Meeting Agendas County Ordinances Planning and Zoning Commission Resources Elmore County News…
Owyhee,ID,http://owyheecounty.net,https://owyheecounty.net/fair-board/,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"t clerk supervision and the jury process. The court office also processes US Passport applications. As Ex-officio Auditor, the Clerk is the Chief Budget Officer for the County and all of its departments. The clerk’s office handles all county expenditures and revenues, budgeting, …",,t FAQs Do I need building permit? What are the minimum required setbacks? Can my parcel be split and what can I build on the parcel? Please contact Planning & Zoning at 208-495-2095. Do I need building permit? Anything over 200 square feet requires a building permit. Where can I …
Puerto Rico,ID,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Yellowstone,ID,http://nps.gov/yell,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northern Mariana Islands,ID,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Oneida,ID,http://oneidacountyid.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bannock,ID,http://www.bannockcounty.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bingham,ID,http://www.co.bingham.id.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
American Samoa,ID,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jefferson County School District #251,ID,https://www.jeffersonsd251.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bonneville Joint School District#93,ID,https://www.d93schools.org/,https://www.d93schools.org/board-policies,https://www.d93schools.org/technology,https://www.d93schools.org/staff-students-home,,2,0,0,1,0,1,,,tionship 6125 Administrative Procedures 6127 Changes to Board Approved Administrative Procedures 6135 Administration in Policy Absence 6155 Superintendent Evaluation 6160 Superintendent Compensation and Benefits Administrative Staff 6315 Employment Restrictions for Administrative…,,5 Parental Involvement in Schools 4180 Bonneville Education Foundation 4185 Speakers in the Classroom and at School Functions Public Access Contact with Students and District Staff 4240 School-Support Organizations 4250 Contests for Students 4283 Distribution of Nonschool-Sponsor…
Blaine,ID,http://www.co.blaine.id.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
