district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Haines Borough School District,AK,https://www.hbsd.net/,,,,Timed out (district budget exceeded),2,0,0,1,0,1,,,"t ONE MONTH before test date! March 14, 2026 May 2, 2026 Register at sat.org ﻿ ACT Look for an email (usually in the fall) from the testing coordinator with yearly test dates then see the School Counselor to sign up and pay in person. ﻿ ﻿ ﻿ ﻿ visit page Scholarships Information 2…",,"hool Login Skip to Navigation Haines Borough School District Login District Schools Parents Staff School Counselor Grades Glacier Bear Wear Contact Welcome The Haines Borough School District is located in Haines, Alaska. Please fill out the Free and Reduced Food Service form and …"
Southeast Island School District,AK,http://www.sisd.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"hool Howard Valentine Coffman Cove School Whale Pass School Thorne Bay School Port Alexander School Naukati School AK-TRAILS Stay Connected Contact webmanagers@sisd.org with questions, comments, or suggestions about this website. Copyright © 2026 Southeast Island School District.…"
Yupiit School District,AK,http://www.yupiit.org/,,https://www.yupiit.org/district/information_technology,https://www.yupiit.org/district/district_office_contacts,Missing: policy (crawl limited),2,0,0,1,0,1,,,ews Thunderbolts Crack AASA State Rankings (1) Tuluksak Staff Assist with K300 Checkpoint Congrats Graduates! YSD Updates District Calendar Superintendent Transition Summer School 2023 PowerSchool Security Breach 1/17/25 School Board About School Board Board Policy Board Archives…,,ified Staff Vacancies Classified Staff Vacancies Salary Schedules New Staff Information Relocation Information Housing Communities Calendar Contact ACCESSIBILITY Educational Resources Home News Alumni Spotlight Newsletters What's New ImmersionWorkshop2024 2025 Summer Meals for Ki…
Annette Island School District,AK,https://aisdk12.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Aleutian Region School District,AK,http://www.aleutregion.org/,https://www.aleutregion.org/school_board_policy_manual,,https://www.aleutregion.org/district_contacts,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"rces Teachers Current Job Openings Student Assessment Matrix Forms Employee Handbooks Salary Schedule Login Aleutian Region School District Contact Information Physical Address 118 E International Airport Road, Suite B Anchorage, AK 99518 Mailing Address P.O. Box 92230 Anchorage,…"
Unalaska City School District,AK,https://www.ucsd.net/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ctations without seeking recognition, spreading her love to everyone in our Unalaska community."" Nominate our next Beacon Award winner HERE Contact Us Unalaska City School District 55 East Broadway Unalaska, AK 99685 District PH: 907-581-3151 District FX: 907-581-3152 EVE PH: 907…"
Delta/Greely School District,AK,http://www.dgsd.k12.ak.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Tanana City Schools,AK,http://aktcsd.schoolwires.net/site/default.aspx,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pribilof School District,AK,http://www.pribilofsd.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"orath, Sr. School Board Member St. George * St. Paul Schools PO Box 207 St. Paul Island, Alaska 99660 Superintendent: Micheal Baldwin Email Superintendent Phone: 907-546-2221 or 546-4100 Built with BoldGrid Powered by WordPress Toggle menu visibility. Pribilof School District Hom…",,"hey will have incorporated the information required by
section 2001(i)(1) of the ARP Act.
American Rescue Plan Act
Mitigation Plan Template
Contact Information
District Information
Name of District: Pribilof School District
District Point of Contact Name: Michael Baldwin
Address …"
North Slope Borough School District,AK,https://www.nsbsd.org/,,,https://www.nsbsd.org/en-US/staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Admin II Joshua Antonio Wide Area Network Admin I B Deb Badertscher Pam Bassett Controller Chris Battle Transportation Manager Bobby Bolen Assistant Superintendent Bertrand Britt School Nurse Barry Broome Director of Maintenance & Operations Dora Brower Coordinator of Iñupiaq Edu…,,District Login Our Schools Our Schools Our Schools Our Schools Our District Departments Schools District Resources Calendars Staff Listing Contact Title IX Welcome to North Slope Borough School District OUR FOUNDATION The North Slope Borough School District is committed to embedd…
Aleutians East Borough School District,AK,http://www.aebsd.org/,https://www.aebsd.org/page/policies,,https://www.aebsd.org/page/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,"on policy and Title IX policy and procedures. Inquiries regarding compliance and/or grievance procedures may be directed to the District’s Title IX Coordinator: Mike Franklin, 907-383-5222. mfranklin@aebsd.org . PO Box 429, Sand Point, AK 99661. Copyright © 2026 Aleutians East Bo…",,erage Information Departments Show submenu for Departments Departments Administration Show submenu for Administration Superintendent Letter Staff Directory Public Reports Business Office Show submenu for Business Office Budgets Finance Policies General Forms Insurance Information…
Anchorage School District,AK,http://www.asdk12.org,https://www.asdk12.org/hot-topics/cell-phone-policy,https://www.asdk12.org/departments/information-technology/chromebook-initiative,https://www.asdk12.org/students/asd-schoolinks/staff-schoolinks,,2,0,0,1,0,1,,,ve my Pin and Password Excusing Absences Quick Reference Guide Migrant Education Resources Recruitment Procedures School Counseling Student Directory Information Wellness Services Community Business Partnerships Careers Contact ASD Request Student Records Citizen Complaints Conne…,,Resources Recruitment Procedures School Counseling Student Directory Information Wellness Services Community Business Partnerships Careers Contact ASD Request Student Records Citizen Complaints Connect with the School Board Data Dashboard Facility Rentals Flyer Approvals Office o…
Iditarod Area School District,AK,http://www.iditarodsd.org/,https://www.iditarodsd.org/page/iasd-school-board,,https://www.iditarodsd.org/page/teachers-and-staff,Missing: tech (crawl limited),1,0,0,1,0,0,,,"the years, a number of teachers have contributed to the content to help facilitate your move. Enjoy the read. See you soon! - Helen Cheek, Superintendent of Iditarod Area School District Reverse Slider Advance Slider New Teacher Information As a new employee in our district, you …",,
Kashunamiut School District,AK,http://chevakschool.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Galena City School District,AK,https://www.galenaalaska.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wrangell Public School District,AK,http://www.wrangellschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Kenai Peninsula Borough School District,AK,http://www.kpbsd.k12.ak.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fairbanks North Star Borough School District,AK,https://www.k12northstar.org/,https://www.k12northstar.org/departments/nutrition-services/no-charging-policy-meal-prices,https://www.k12northstar.org/departments/technology/student-business-information-systems/sis/staff-resources,https://www.k12northstar.org/departments/technology/student-business-information-systems/sis/staff-resources,,2,0,0,1,0,1,,,t Close Menu Search Clear Search About District Budget Budget 101 Legislative Priorities Contact Us District Facts Forms & Documents School Directory Assistant Superintendents Student Activities Strategic Plan Student Safety and Wellbeing ALICE Extreme Winter Weather Local Commun…,,CEC Staff Charter Schools eLearning Golden Heart Academy North Star College (opens in new window/tab) Star of the North Application Process Staff Directory Counseling Summer School SMART Program Resources Drug & Alcohol Prevention Prevention & Intervention Specialists School Cont…
Southwest Region School District,AK,https://www.swrsd.org/,https://www.swrsd.org/board-of-education/agendas-minutes-and-policy,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,mpact Aid Report Card to the Public Title IA Schoolwide Plans Educational Program Overview Migrant Education Evaluation Board Members Staff Directory First Name Last Name There are no constituents to display Logo Image Logo Title Southwest Region Schools 574 Kenny Wren Rd P.O. Bo…,,psis Impact Aid Report Card to the Public Title IA Schoolwide Plans Educational Program Overview Migrant Education Evaluation Board Members Staff Directory First Name Last Name There are no constituents to display Logo Image Logo Title Southwest Region Schools 574 Kenny Wren Rd P…
Northwest Arctic Borough School District,AK,http://www.nwarctic.org/,https://www.nwarctic.org/departments_programs/technology/1_1_device_implementation/acceptable_use_policy_for_parents_visitors,https://www.nwarctic.org/departments_programs/technology/1_1_device_implementation/acceptable_use_policy_for_parents_visitors,https://www.nwarctic.org/our_district/administration,,2,0,0,1,0,1,,,"Borough School District » Our District » Administration Side Navigation Skip Sidebar Navigation Administration Administration Terri Walker, Superintendent Jeff Alexander, Assistant Superintendent Directors Last item for navigation Administration Northwest Arctic Borough School Di…",,eeting Information News Releases & Meeting Minutes Meeting Schedule Members Board Policy Public Comment Departments & Programs Districtwide Contact Information Administrative Services Contact Information Administrative Forms District Finances Financial Narrative Reports NWABSD Au…
Kodiak Island Borough School District,AK,https://www.kibsd.org/,https://www.kibsd.org/board-of-education/,,https://www.kibsd.org/about-us/staff-directory/,Missing: tech (crawl limited),2,0,0,1,0,1,,,Report Cards Healthy Schools Protocols Media Corner Notice of Non-Discrimination Policies Records Request School Closures and Delays Staff Directory Strategic Planning Website Accessibility Notice Departments Athletics and Activities Community Schools Early Childhood Services Fac…,,strict Report Cards Healthy Schools Protocols Media Corner Notice of Non-Discrimination Policies Records Request School Closures and Delays Staff Directory Strategic Planning Website Accessibility Notice Departments Athletics and Activities Community Schools Early Childhood Servi…
Ketchikan Gateway Borough School District,AK,https://www.kgbsd.org/,https://www.kgbsd.org/en-US/school-board,,https://www.kgbsd.org/en-US/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Board Clerk, Administrative Assistant Lindsey Hargis SLP Hollis Hiatt Special Services Jason House Director, Support Services J Al Jacobson Director, Maintenance Jurgen Johannsen Technology Supervisor K Ashley Kessler Social Worker M Andrea Marthinsen Physical Therapist April Men…",,dars Contact Title IX Bulletin Board Landslide Processing Supports and Resources Landslide Update Website Ketchikan Crisis Care Information Staff Directory District Office Business Hours 8:00 AM to 4:00 PM or by appointment Announcements 2024 School Climate Connectedness Survey r…
Bering Strait School District,AK,http://www.bssd.org/,https://www.bssd.org/page/school-board,https://www.bssd.org/page/educational-technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,untain School Stay Connected Copyright © 2026 Bering Strait School District. All rights reserved. Powered By Apptegy Visit us to learn more Superintendent | Bering Strait School District Skip to content Search site Bering Strait School District All students are thriving and contr…,,Quick Links Power Teacher Power Parent Power Admin Apple Education Store Silkat Climate Survey Migrant Survey Library Services Safe Schools Contact Edtech BSSD Email Rooms Support Rooms Support More Show submenu for Skip Gallery 2026 Regional Brackets & Schedule End of Gallery Po…
Kake City School District,AK,https://kakeschools.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Juneau School District,AK,https://www.juneauschools.org/,https://www.juneauschools.org/en-US/board-of-education-ddebe663,,https://www.juneauschools.org/en-US/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"uneau School District Mailing Address: 10014 CRAZY HORSE DRIVE JUNEAU, AK 99801 +1 907 523 1700 +1 907 290 8306 district School Board Staff Directory Contact Us FOLLOW US Twitter Facebook Privacy Policy The City and Borough of Juneau School District complies with all federal and …",,content skip to navigation Skip to Navigation Juneau School District Login Calendars District Information Schools Departments School Board Staff Directory Contact Us District Office Information Superintendent of Schools: Mr. Frank Hauser District Office Hours: 8:00 a.m. to 4:30 p…
Pelican City School District,AK,https://pelicanschool.org/,https://pelicanschool.org/school-board/,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,sion & Goals 21-22 Report Card to the Public Employment Our Community Parents Activities Quick Schools Search Title IX Information Title IX Coordinator - Norma Holmgaard AR-0410 Title IX Policy BP-0410 Nondiscrimination in District Programs and Activities BP-51453 Nondiscriminati…,,"e are a school district that offers K-12 educations, located in Pelican, Alaska. To learn more about the community of Pelican, click here ! Contact Information Brett Agenbroad, Superintendent-Principal bagenbroad@pelicanschool.org Lisa Pearce, Business Manager lpearce@pelicanscho…"
Mount Edgecumbe High School,AK,http://www.mehs.us,,https://www.mehs.us/academics/technology,https://www.mehs.us/about_us/contact_us,Missing: policy (crawl limited),1,0,0,0,0,1,,,,,og Vietnamese Korean Russian Hindi Login Guest Mt. Edgecumbe High School {1} ##LOC[OK]## MENU Home About Us Mission & Vision Advisory Board Contact Us Administration Strategic Plan Info & Plans School Calendars Monthly Calendar Calendar pdf Student and PARENT Handbook 2024-2025 P…
Copper River School District,AK,http://www.crsd.us/,https://www.crsd.us/privacy-policy,,https://www.crsd.us/about-us/contact-us,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,earch Open Search search-popup Close site-search Search Clear Search menu-trigger-container Close Menu nav-main About Us Board Of Education Contact Us Superintendent's Dispatch Our Schools Glennallen Kenny Lake Slana Upstream Learning (opens in new window/tab) Families & Students…
Cordova City School District,AK,https://www.cordovasd.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"trict Activity Events Lunch Menu Wolverine HUDL School Board Cordova School District News CSD Board of Education Announces Selection of New Superintendent, Kim Hanisch. a month ago Jan 20, 2026 · Cordova City School District CSD Board of Education Announces Selection of New Super…",,y School District Our Schools Our Schools Our Schools Our Schools District Information School Board Departments Schools Calendar Employment Contact Us Welcome to Cordova School District! Vision Statement The Cordova School District is committed to providing opportunities to chall…
Alaska Gateway School District,AK,https://www.agsd.us/,https://www.agsd.us/page/regional-school-board,https://www.agsd.us/page/integrating-technology,https://www.agsd.us/page/staff-evaluation,,2,0,0,1,0,1,,,"patterns. The state's legislative session ends May 8. Ohio In the middle of this year's session, a task force made up legislators, district superintendents, and school finance officers proposed what it called the "" Fair School Funding Plan ."" Districts had long complained that th…",,"ainings, webinars, and conferences - AGSD has a Tier 1 Sponsorship - so if you are interested in participating in an ASDN event or training contact Eston at ejennings@agsd.us To Access ASDN Recorded Webinars http://www.asdn.org/recorded-webinars/ Username: asdn Password: asdnwebs…"
Dillingham City School District,AK,https://www.dlgsd.org/,,,https://www.dlgsd.org/page/contact,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,quitable for all of our students and help them gain the confidence and skills they need in order to succeed in life. Levi Fuller Activities Director Levi Fuller Email 25/26 Activities Handbook 25/26 Activities Calendar FORMS/LINKS AMLJIA Student Medical Info Form BigTeams Help Fo…,,"for School Board School Board Board Policy Meeting Schedule Members Board Committees Join Our Team Join Our Team Food Service Food Service Contact Contact Title IX and EEO Title IX and EEO More Show submenu for Skip Gallery End of Gallery Find Us Dillingham City School District, …"
Nome Public Schools,AK,http://www.nomeschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Chatham School District,AK,https://ak01001788.schoolwires.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Valdez City Schools,AK,http://www.valdezcityschools.org,https://www.valdezcityschools.org/school-board/board-policy,https://www.valdezcityschools.org/departments/technology,https://www.valdezcityschools.org/departments/facilities-and-operations/vcs-facilities-staff-resources-clone,,2,0,0,1,0,1,,,ard Policy Board Meetings Board Agendas & Minutes Board Elections Dolores Gard Outstanding School Volunteer Award Departments Office of the Superintendent Teaching and Learning Technology Special Education Services Federal Programs Facilities and Operations Business Services Care…,,ansportation Accounts Payable Budget & Financial Audits Payroll & Salary Benefits Administration Requests for Proposals (RFPS) Careers News Directory Students Families 2025-2026 School Year Information Employees Facebook (opens in new window/tab) YouTube (opens in new window/tab)…
Chugach School District,AK,https://www.chugachschooldistrict.com/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"Chugach School District Chugach School District Request Records Board Policy Contact Us FOCUS Homeschool -> Welcome to Chugach School District Board of Stars Have you noticed someone demonstrating hard work, dedication, and…"
Denali Borough School District,AK,https://www.dbsd.org,,,https://www.dbsd.org/o/dbsd/page/staff-information,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,"w's world End of Gallery ENROLLMENT SKYWARD staff resources class link Find Us Denali Borough School District 1 Suntrana St Healy, AK 99743 Phone: (907) 683-2278 Fax: (907) 683-2514 Schools Denali Borough School District Anderson School Cantwell School Tri-Valley School Denali PE…"
