district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Demographics,OR,https://www.oregon.gov/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"lert. Only a local law enforcement official can request an AMBER Alert. OSP develops an AMBER Alert Review Committee, led by an AMBER Alert Coordinator, to review all yearly activity related to AMBER alerts in Oregon for lessons learned to help maintain the program’s integrity.​ …",,"ents of veterans also may have benefits available to them. However, you must apply for your benefits to receive them. Your first step is to contact a Veterans Service Officer who can help determine your eligibility. Veterans Service Officers are available at the Oregon Department…"
Jackson,OR,http://www.co.jackson.or.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Tillamook School District,OR,http://www.tillamook.k12.or.us/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"ity and nondiscrimination should contact the Superintendent at the District Administration Office, 2510 1st Street, Tillamook, 503.842.4414 Coordinator Information: Title I (disadvantaged students) ~ Ericka Keefauver, Director of Curriculum, Instruction, and Assessment, 2510 Firs…",,ain content skip to navigation Skip to Navigation Tillamook School District 9 Login Our District School Board Departments Schools Calendars Contact Quick Links 2.17.26 Special Board Meeting Notice & Agenda 25-26 School Start/End Times TSD9 Strategic Plan Discrimination Complaint …
"North Lake School District , Silver Lake",OR,http://www.nlake.k12.or.us/,https://www.nlake.k12.or.us/page/school-board-policies,,https://www.nlake.k12.or.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,North Lake School District 14 | Home Skip to content Staff Directory Superintendent Search 2026 Search site North Lake School District 14 Staff Directory Superintendent Search 2026 Search site Explore Explore Translate Sign in Explore Translate S…,,North Lake School District 14 | Home Skip to content Staff Directory Superintendent Search 2026 Search site North Lake School District 14 Staff Directory Superintendent Search 2026 Search site Explore Explore…
Springfield School District,OR,http://www.springfield.k12.or.us,https://www.springfield.k12.or.us/hr/non-discrimination-policy,,https://www.springfield.k12.or.us/directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,mmittee 2024-25 Budget Committee 2025-26 Agendas and Materials 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 School Board Calendar Superintendent Our Boundaries Equity & Inclusion Educational Equity Advisory Committee Every Student Belongs Land Acknowledgment Staff Direc…,,d Calendar Superintendent Our Boundaries Equity & Inclusion Educational Equity Advisory Committee Every Student Belongs Land Acknowledgment Staff Directory Strategic Plan Measuring Progress and Performance Careers Our Benefits Equity & Inclusion Position Descriptions Bargaining A…
Deschutes,OR,https://www.deschutes.org/,https://www.deschutes.org/administration/page/privacy-policy,,https://www.deschutes.org/administration/page/privacy-policy,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"County Oregon | Enhancing the lives of citizens by delivering quality services in a cost-effective manner. Skip to main content Alerts Jobs Contact Us Home About Us Column 1 Contact Us About Us About the County Contact Us/Directory Meeting Agendas, Minutes, Video Column 2 Helpful…"
Tigard-Tualatin School District,OR,https://www.ttsdschools.org/,https://www.ttsdschools.org/about-us/school-board/board-policies/student-acts-of-physical-aggression-or-violence-policy-community-input,,https://www.ttsdschools.org/about-us/contacts-and-school-hours,Missing: tech (crawl limited),2,0,0,1,0,1,,,sure Special Education Students Rights and Responsibilities Handbook Discipline Framework Request for Personal Electronic Devices Exception Directory Information Opt Out Military Recruitment Opt Out Student Transition Resources Teacher Qualification Requests TAG Services Testing …,,esolutions 2013-14 TTSD Board Resolutions School Board Assignments Meeting Safety Action Plan Contacts and School Hours School Hours How to Contact Your School Integrated Guidance Student Investment Account District News Communication Federal Updates Boundary Updates Time to Veri…
Tigard,OR,http://www.tigard-or.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Greater Albany Public School District,OR,https://albany.k12.or.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
McMinnville School District,OR,http://www.msd.k12.or.us/,https://www.msd.k12.or.us/about_us/public_notices/non-discrimination-policy/,,https://www.msd.k12.or.us/staff-resources/,Missing: tech (crawl limited),2,0,0,1,0,1,,,Elementary School Wascher Elementary School Willamette Elementary School Employment Search... SELECT A SCHOOL Contact Us School Board Staff Directory Translate Spanish Arabic Chinese French German Hindi Italian Korean Russian Vietnamese Explore Menu Home Schools Our Schools McMin…,,Newby Elementary School Wascher Elementary School Willamette Elementary School Employment Search... SELECT A SCHOOL Contact Us School Board Staff Directory Translate Spanish Arabic Chinese French German Hindi Italian Korean Russian Vietnamese Explore Menu Home Schools Our Schools…
Lake County School District (Lakeview School District),OR,http://www.lakeview.k12.or.us,https://www.lakeview.k12.or.us/documents/district-office-%2F-school-board/budget-%2F-audit/539704,,https://www.lakeview.k12.or.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,nseling and Student Support Student Registration Student Registration More Show submenu for Skip Gallery The LCSD7 Board Names Finalist for Superintendent Position The LCSD7 Board Names Finalist for Superintendent Position Please click here for the press release. End of Gallery R…,,"e school Contact Us Lake County School District 7 1341 South 1st Street Lakeview, Oregon 97630 541-947-3347 phone 541-947-3386 fax District Staff Directory School Board Meetings Public Complaint Policies Non-Discrimination Schools Lakeview High School / Daly Middle School Fremont…"
Estacada School District,OR,http://www.estacada.k12.or.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Crook County School District , Prineville",OR,http://www.crookcounty.k12.or.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Umatilla,OR,http://www.co.umatilla.or.us,https://www.co.umatilla.or.us/departments/admin/property-value-appeals-board,,https://www.co.umatilla.or.us/cc/departments/cc/contact-us,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"lopment Umatilla County Video Tour Community and Economic Development Grant Program Contact Information Courthouse Map Stafford Hansell Map Staff Directory Elections Contact Information Election Links Information Regarding Voting and Election Results FAQ's, Political Party and Ca…"
Milton-Freewater Unified School District,OR,https://www.miltfree.k12.or.us/,https://www.miltfree.k12.or.us/privacy-policy,,https://www.miltfree.k12.or.us/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,deo> tag. News & Events Crystal Apple Award Nominations Read More about Crystal Apple Award Nominations Communication with Ami Muilenburg - Assistant Superintendent Read More about Communication with Ami Muilenburg - Assistant Superintendent Outstanding Graduation Rates for the C…,,istrict 7 Skip To Main Content Close Menu Search Clear Search About Us About Us Calendars Calendar School Board Budget and Budget Committee Staff Directory Departments Business Office Human Resources Payroll & Benefits Information (opens in new window/tab) Teaching & Learning Spe…
"David Douglas School District , Portland",OR,https://www.ddouglas.k12.or.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Parkrose School District , Portland",OR,http://www.parkrose.k12.or.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Pine Eagle School District , Halfway",OR,http://www.pineeaglesd.org,https://www.pineeaglesd.org/school-board/district-and-school-board,https://www.pineeaglesd.org/support-ticket/it-knowledgebase,https://www.pineeaglesd.org/district/district-staff,,2,0,0,1,0,1,,,Sheriff Deputy Email Mrs. Barbie Morgan Dean of Students Email Mr. Shawn Thatcher Maintenance/Custodial Supervisor Email Mr. Robert Mattox Director of Technology Email Mr. Craig Jackson Transportation Supervisor Email Mrs. Nicole Chandler Cafeteria Supervisor Email Mrs. Lisa Butl…,,will be accepted until filled. Compensation will be based on experience and placement on the Salary Schedule. If you have questions please contact the district at the number below. ATTN: Cammie deCastro or Morgan Gover Pine Eagle School District cadecastro@pineeaglesd.org 541-742…
Morrow,OR,http://www.morrowcountyoregon.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
