district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Santa Rosa Consolidated Schools,NM,https://www.srlions.com/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,esting Sites Transportation Department Guidance Counselor Services New Student Enrollment Form Transcript Request Submission Form Counselor Directory Mission and General Resources Scholarships Dual Credit Forms Additional Information School Records Request Board of Education Boar…,,esting Sites Transportation Department Guidance Counselor Services New Student Enrollment Form Transcript Request Submission Form Counselor Directory Mission and General Resources Scholarships Dual Credit Forms Additional Information School Records Request Board of Education Boar…
Grady Municipal Schools,NM,http://www.gradyschool.com/,,,https://www.gradyschool.com/directory,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,ys Get out and support the Bronchos! GO BRONCHOS! SCHOOL BOARD INFORMATION School Board Information Archive School Board Information Please contact the Grady Municipal Schools office if you need help. It's great to be a Broncho! GRADY BRONCHO BASKETBALL Grady @ Ft Sumner JV Boys …
Dulce Independent Schools,NM,https://www.dulceschools.com/,https://www.dulceschools.com/page/school-board,https://www.dulceschools.com/page/technology-services,https://www.dulceschools.com/page/hs-staff-resources,,2,0,0,1,0,1,,,enance Work Orders Staff Resources Show submenu for Staff Resources Student Assistance Team/MLSS Teacher Resources Students & Parents Staff Directory Visitor & Volunteer Information Staff Email Staff Email Anti-Racism Anti-Oppression Hotline Anti-Racism Anti-Oppression Hotline Sc…,,Maintenance Work Orders Staff Resources Show submenu for Staff Resources Student Assistance Team/MLSS Teacher Resources Students & Parents Staff Directory Visitor & Volunteer Information Staff Email Staff Email Anti-Racism Anti-Oppression Hotline Anti-Racism Anti-Oppression Hotli…
Corrales,NM,http://www.corrales-nm.org/,,,http://www.corrales-nm.org/directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,y Water in Corrales Starting a Business I'm Looking For Agendas / Minutes COVID-19 Request for Proposals Calendar Contact the Village Forms Directory Employment Opportunities Key Documents Directory News Staff Directory Meeting Recordings Your Search Departments & Committees Type…,,/ Minutes COVID-19 Request for Proposals Calendar Contact the Village Forms Directory Employment Opportunities Key Documents Directory News Staff Directory Meeting Recordings Your Search Departments & Committees Type Event Date Toggle Menu Home Page Key Links Menu Mayor's Message…
Chama Valley Schools,NM,https://www.chamaschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,n Chama Valley Independent Schools Login Our Schools Our Schools Our Schools Our Schools District Information Departments Calendars Schools Contact Lunch Menus PowerSchool Login Remind Login Calendars Job Opportunities Chama Valley Independent Schools Mission Statement Committed …
Santa Fe,NM,https://co.santa-fe.nm.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Chaves,NM,http://co.chaves.nm.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Rio Rancho Public Schools,NM,https://www.rrps.net/,,https://www.rrps.net/page/information-technology,,"Missing: policy, contact (crawl limited)",1,0,0,0,0,1,,,,,l Notices (and Title IX) IPRA/Public Information Requests Discipline Matrices ARAO Portal Click for RRPS Online Learning Resources Click to Contact Tech Support Chat or Submit Ticket at IT Support Portal Stay Connected Copyright © 2026 Rio Rancho Public Schools. All rights reserv…
De Baca,NM,http://debaca.nmgenweb.us/,,,https://debaca.nmgenweb.us/contact/index.html,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"s for every county in every state. We provide free access to everyone. If you are interested in adopting a county, please contact the State Coordinator . An official USGenWeb ® Project site Dedicated to Free Information for Home Family Genealogy use only. Other places of Interest…",,DeBaca County NM Home Resources nmgenweb usgenweb Contact Welcome to DeBaca County for Genealogy research PLEASE NOTE: We are not a County Government site and therefore have no information pertaini…
Tularosa Municipal Schools,NM,http://www.tularosa.k12.nm.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Artesia,NM,http://www.artesianm.gov,,,http://www.artesianm.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,y Directory Contact Elected Officials Public Notices Online Forms Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Airport Building Inspection Cemetery - Woodbine City Attorney's Office City Clerk's Office City Council City Prosecutor's Office C…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Artesia, NM • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save form pro…"
San Juan,NM,http://www.sjcounty.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Central Consolidated Schools,NM,http://www.ccsdnm.org/,,https://www.ccsdnm.org/Technology.aspx,https://www.ccsdnm.org/ContactUs1.aspx,Missing: policy (crawl limited),2,0,0,1,0,1,,,thing Employee Portal Search About Us Announcements Career Technical Education Community Important Links Johnson O'Malley Program Resources Superintendent's Page Title IX Vision & Mission Board of Education Board Agendas Board Minutes Board Policy Message the Board Schools Elemen…,,mployee Portal Access News Releases / Announcements PowerSchool SchoolDude Schoology See Something Say Something Facebook Instagram Youtube Contact Us Website Created by LINQ © 2026. Central Consolidated School District. All Rights Reserved. Technology Skip to Main Content Login …
San Miguel,NM,http://www.smcounty.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hidalgo,NM,http://www.hidalgocounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Las Cruces Public Schools,NM,http://www.lcps.net/,https://www.lcps.net/page/policies,,https://www.lcps.net/o/lcps/page/staff-links,Missing: tech (crawl limited),1,0,0,1,0,0,,,o 88001 575-527-5800 Staff Resources Staff Links Important Information Privacy and Legal Notice Anti-Racism/Anti-Oppression Portal Title IX Coordinator & Non-discrimination Statement Community Concerns/Complaints Stay Connected Copyright © 2026 Las Cruces Public Schools. All righ…,,
Socorro,NM,https://www.socorronm.gov/,https://www.socorronm.gov/privacy-policy/,,https://www.socorronm.gov/city-services/administration/,Missing: tech (crawl limited),2,0,0,1,0,1,,,Audits ICIP Procurement Education Cottonwood Valley New Mexico Tech Socorro Public Schools Administration Animal Shelter Director/Dispatch Director Guadalupe (Lupe) Tarango 575-835-4222 Assistant City Administrator Lena Chavez 575-838-7522 Building Inspector Construction Industri…,,"City of Socorro New Mexico - Contact Information, Commission Meetings, Info Skip to content Menu Government Mayor’s Office City Council Municipal Judge Public Notices Council A…"
Grants,NM,http://www.cityofgrants.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
